Campus,Precinct,Reticulation,Building,Meter Name,Meter Type, meter_id, description, make, manufacturer, type, Serial Number, model, yard_number, Building_No, Floor, Room_No, Meter_Description, Latitude, Longitude,IP_Address,Port
Stellenbosch University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-33.9328,18.8644,146.232.145.189,8000
Stellenbosch University,Coetzenburg 11kV,-,-,-,Energy,3025,Coetzenburg 11 kV, Elster, Kocos, A1700,51500272, LiMo-DIN,306,745,1,1002, Coetzenburg 11kv,-33.93943714,18.86822311,146.232.145.189,8001
Stellenbosch University,Coetzenburg 11kV,-,Swembad Minisub,-,Energy,2856,Swembad Minisub, Elster, Kocos, A1140,78520491, LiMo R2, 306/2,0,1, Outside, Swembad minisub,-33.94067001,18.87089593,127.0.0.1,8002
Stellenbosch University,Coetzenburg 11kV,-,Swembad Minisub,Swembadpompe,Energy,2639,Swembadpompe, Elster, Kocos, A1140,58500661, LiMo R2, 306/2,171,1,1002, Swembad pompe,-33.94064265,18.87086229,-,0
Stellenbosch University,Coetzenburg 11kV,-,Swembad Minisub,Coetzenburg Sentrum,Energy,2848,Coetzenburg Sentrum, Elster, Kocos, A1140,58500669, LiMo R2, 306/2,171,1,1002, Coetzenburg sentrum,-33.94064548,18.87086475,-,0
Stellenbosch University,Coetzenburg 11kV,-,Sportwetenskap Toevoer,-,Energy,2753,Sportwetenskap Toevoer, Elster, Kocos, A1140,58500442, LiMo R2, 306/2,87,1,114, Sportwetenskap toevoer,-33.94128796,18.87177592,127.0.0.1,8003
Stellenbosch University,Coetzenburg 11kV,-,Sportwetenskap Toevoer,Sport Wetenskap - VM Remainder,Energy,3904,VM, VM, VM, VM,0, VM, -,0,0, -, -,-33.94129325,18.87177961,-,0
Stellenbosch University,Coetzenburg 11kV,-,Sportwetenskap Toevoer,Sport Gimnasium,Energy,2754,Sport Gimnasium, Elster, Kocos, A1140,58500444, LiMo R2, 306/2,87,1,114, Sport gimnasium,-33.94129853,18.8717833,-,0
Stellenbosch University,Coetzenburg 11kV,-,Sportburo - Jannie Marais Klubhuis,-,Energy,2746,Sportburo - Jannie Marais Klubhuis, Elster, Kocos, A1140,58500447, LiMo R2,313,165,1,1003, Sportburo - Jannie Marais Klubhuis,-33.93854041,18.87367101,127.0.0.1,8004
Stellenbosch University,Coetzenburg 11kV,-,Krieket Onderwaterhokkie Klubhuis,-,Energy,2954,Krieket Onderwaterhokkie Klubhuis, Elster, Kocos, A1140,78520566, LiMo R2, -,0,0, -, -,-33.93953097,18.87329349,127.0.0.1,8005
Stellenbosch University,Coetzenburg 11kV,-,Danie Craven Rugby Stadion,-,Energy,2955,Danie Craven Rugby Stadion, Elster, Kocos, A1140,88500423, LiMo R2,312,138,1,1020, Danie Craven Rugby Stadion,-33.94052152,18.87291597,127.0.0.1,8006
Stellenbosch University,Coetzenburg 11kV,-,Coetzenburg Atletiek Substasie,-,Energy,2964,Coetzenburg Atletiek Substasie, Elster, Kocos, A1140,58500468, LiMo R2, -,0,0, -, -,-33.93938085,18.86952333,127.0.0.1,8007
Stellenbosch University,Coetzenburg 11kV,-,Coetzenburg Atletiek Substasie,Coetzenburg Vodacom,Energy,2849,Coetzenburg Vodacom , Elster, Kocos, A1140,68905747, LiMo R2, 306/2,171,1,1002, Coetzenburg vodacom,-33.94064168,18.87085704,-,0
Stellenbosch University,Coetzenburg 11kV,-,Coetzenburg Atletiek Substasie,Coetzenburg Tennisbaan,Energy,2950,Coetzenburg Tennisbaan, Elster, Kocos, A1140,58500667, LiMo R2, 306/2,137,1,1010, Coetzenburg Tennisbaan,-33.93906043,18.86918915,-,0
Stellenbosch University,Coetzenburg 11kV,-,Coetzenburg Atletiek Substasie,Coetzenburg MTN,Energy,2947,Coetzenburg MTN, Elster, Kocos, A1140,98129683, LiMo R2, 306/2,137,1,1010, Coetzenburg MTN,-33.93906349,18.86919049,-,0
Stellenbosch University,Coetzenburg 11kV,-,Coetzenburg Atletiek Substasie,Coetzenburg Imaging Centre,Energy,2949,Coetzenburg Imaging Centre , Elster, Kocos, A1140,98154635, LiMo R2, 306/2,137,1,1010, Coetzenburg Imaging Centre,-33.93907239,18.86918982,-,0
Stellenbosch University,Coetzenburg 11kV,-,Coetzenburg Atletiek Substasie,Coetzenburg Cell C,Energy,2948,Coetzenburg Cell C, Elster, Kocos, A1140,98129682, LiMo R2, 306/2,137,1,1010, Coetzenburg Cell C,-33.93906627,18.86919016,-,0
Stellenbosch University,Coetzenburg 11kV,-,Coetzenburg Atletiek Substasie,Atletiek Stadion - VM Remainder,Energy,3903,VM, VM, VM, VM,0, VM, -,0,0, -, -,-33.93571264,18.86719208,-,0
-,Neelsie,-,Neelsie PV Roof,-,Solar,10440,Neelsie PV Roof, Elster, Kocos, A1140,58108351, -,1,1,3, -, Neelsie PV Roof,-33.932359,18.865194,-,0
-,Engineering,-,Lettere - Computer Room (3rd Floor),-,Occupancy,1000,Computer Room Occupancy, FootfallCam, FootfallCam, People Counting, 15F010234294|0000000091a8ebb0, FootfallCam 3D Max, -, -,3,314, Lettere - Computer Room (3rd Floor),-33.93222832,18.86170926,-,0
