Campus,Precinct,Reticulation,Building,Meter Name,Meter Type,meter_id,description,make,manufacturer,type,Serial Number,model,yard_number,Building_No,Floor,Room_No,Meter_Description,Latitude,Longitude,IP_Address,Port,Location,Starting date
Stellenbosch University,-,-,-,-,Energy,-,-,-,-,-,-,-,-,-,-,-,-,-33.9328,18.8644,146.232.146.140,8000,Local,2022/05/01 00:00
Stellenbosch University,Banghoek Toevoer,-,-,-,Energy,3037,Voertuigpoel Kiosk Hooftoevoer (Banhoek),Elster,Kocos,A1140,68508323,LiMo-DIN,-,-,-,-,-,-33.91667,18.91667,146.232.146.140,8007,Local,2022/05/01 00:00
Stellenbosch University,Banghoek Toevoer,-,HIV Bestuur Gebou,-,Energy,3041,HIV Bestuur Gebou,Elster,Kocos,A1140,68508326,LiMo-DIN,-,-,-,-,-,-33.916675,18.916675,146.232.146.140,8003,Local,2022/05/01 00:00
Stellenbosch University,Banghoek Toevoer,-,Language Centre,-,Energy,3040,Language Centre,Elster,Kocos,A1140,685083278,LiMo-DIN,-,-,-,-,-,-33.91668,18.91668,146.232.146.140,8004,Local,2022/05/01 00:00
Stellenbosch University,Banghoek Toevoer,-,Matie Gemeenskapsdiens Luckhofskool,-,Energy,3038,Matie Gemeenskapsdiens Luckhofskool,Elster,Kocos,A1140,68508324,LiMo-DIN,-,-,-,-,-,-33.916685,18.916685,146.232.146.140,8005,Local,2022/05/01 00:00
Stellenbosch University,Banghoek Toevoer,-,Voertuigpoel,-,Energy,3039,Voertuigpoel,Elster,Kocos,A1140,68508325,LiMo-DIN,-,-,-,-,-,-33.91669,18.91669,146.232.146.140,8006,Local,2022/05/01 00:00
Stellenbosch University,Botmashoogte Toevoer,-,-,-,Energy,3758,Botmashoogte Toevoer,Elster,Kocos,A1140,38146936,LiMo R2,-,-,-,-,-,-33.9233,18.883,146.232.146.140,8008,Local,2022/05/01 00:00
Stellenbosch University,Coetzenburg 11 kV,-,-,-,Energy,3025,Coetzenburg 11 kV,Elster,Kocos,A1700,51500272,LiMo-DIN,306,745,1,1002,Coetzenburg 11kv,-33.93943714,18.86822311,146.232.146.140,8026,Local,2022/05/01 00:00
Stellenbosch University,Coetzenburg 11 kV,-,Coetzenburg Atletiek Substasie,Atletiek Stadion - VM Remainder,Energy,3903,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Coetzenburg 11 kV,-,Coetzenburg Atletiek Substasie,Coetzenburg Cell C,Energy,2948,Coetzenburg Cell C,Elster,Kocos,A1140,98129682,LiMo R2,306/2,137,1,1010,Coetzenburg Cell C,-33.93906627,18.86919016,-,0,-,2022/05/01 00:00
