Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
3,1,1,1,1,81,53,27,2872,34.42578125,83.953125,2990.37890625,4.4015998840332,0.0527606271207333,0.128665760159492,4.58302640914917,0.388409674167633,0,13.9843626022339,14.3727722167969
3,1,1,1,2,47,45,1,2882,38.30078125,83.95703125,3004.2578125,4.41692590713501,0.0586994141340256,0.128671750426292,4.60429716110229,0.195140346884727,0,13.1733684539795,13.3685083389282
3,1,1,1,3,50,47,2,2870,40.9609375,83.984375,2994.9453125,4.39853477478027,0.0627763420343399,0.12871365249157,4.59002494812012,0,0,13.8282165527344,13.8282165527344
3,1,1,1,4,52,49,3,2864,40.97265625,83.9921875,2988.96484375,4.38933944702148,0.0627943053841591,0.128725633025169,4.58085918426514,0.194691985845566,0,12.5249357223511,12.7196273803711
3,1,1,1,5,53,49,4,2754,41.43359375,82.44921875,2877.8828125,4.22075414657593,0.0635007321834564,0.126360893249512,4.41061592102051,0,0,13.801944732666,13.801944732666
3,1,1,1,6,51,47,4,2750,41.33984375,82.44921875,2873.7890625,4.21462392807007,0.0633570551872253,0.126360893249512,4.40434169769287,0,0,16.2784538269043,16.2784538269043
3,1,1,1,7,62,56,6,2749,41.4453125,82.45703125,2872.90234375,4.2130913734436,0.0635186955332756,0.12637285888195,4.40298271179199,0,0,13.9139804840088,13.9139804840088
3,1,1,1,8,68,61,6,2749,41.4609375,82.45703125,2872.91796875,4.2130913734436,0.0635426416993141,0.12637285888195,4.40300703048706,0,0,15.5196475982666,15.5196475982666
3,1,1,1,9,59,52,7,2717,41.47265625,82.5,2840.97265625,4.16404867172241,0.0635605975985527,0.126438722014427,4.35404777526855,0,0,15.6180534362793,15.6180534362793
3,1,1,1,10,73,65,8,2717,41.484375,82.48046875,2840.96484375,4.16404867172241,0.0635785609483719,0.126408785581589,4.3540358543396,0,0,14.2294406890869,14.2294406890869
3,1,1,1,11,74,65,9,2717,41.578125,82.48046875,2841.05859375,4.16404867172241,0.063722237944603,0.126408785581589,4.35417985916138,0,0,15.8019170761108,15.8019170761108
3,1,1,1,12,76,64,11,2717,41.58984375,82.4765625,2841.06640625,4.16404867172241,0.0637402012944222,0.126402795314789,4.35419178009033,0,0,14.2423524856567,14.2423524856567
3,1,1,1,13,76,65,10,2717,42.0234375,82.48046875,2841.50390625,4.16404867172241,0.0644047260284424,0.126408785581589,4.35486221313477,0,0,14.1348552703857,14.1348552703857
3,1,1,1,14,75,64,11,2717,42.0859375,82.48046875,2841.56640625,4.16404867172241,0.0645005106925964,0.126408785581589,4.35495805740356,0,0,15.5749845504761,15.5749845504761
3,1,1,1,15,78,65,12,2717,42.15625,82.48046875,2841.63671875,4.16404867172241,0.0646082684397697,0.126408785581589,4.35506582260132,0,0,14.1802015304565,14.1802015304565
3,1,1,1,16,81,68,13,2717,42.16796875,82.49609375,2841.6640625,4.16404867172241,0.0646262317895889,0.126432731747627,4.35510778427124,0.18987874686718,0,14.4432487487793,14.6331272125244
3,1,1,1,17,77,63,13,2717,42.16796875,82.48046875,2841.6484375,4.16404867172241,0.0646262317895889,0.126408785581589,4.35508346557617,0,0,13.5611963272095,13.5611963272095
3,1,1,1,18,81,67,14,2717,41.7421875,82.49609375,2841.23828125,4.16404867172241,0.063973680138588,0.126432731747627,4.35445499420166,0,0,16.7065944671631,16.7065944671631
3,1,1,1,19,82,67,15,2718,41.7421875,82.01171875,2841.75390625,4.16558122634888,0.063973680138588,0.125690385699272,4.3552451133728,0,0,17.3620948791504,17.3620948791504
3,1,1,1,20,91,75,15,2718,41.8515625,82.01171875,2841.86328125,4.16558122634888,0.0641413107514381,0.125690385699272,4.35541296005249,0,0,15.24289894104,15.24289894104
3,1,1,1,21,96,73,23,2718,41.86328125,82.0078125,2841.87109375,4.16558122634888,0.0641592666506767,0.125684395432472,4.35542488098145,0,0,16.0850143432617,16.0850143432617
3,1,1,1,22,97,80,17,2718,41.86328125,82.01171875,2841.875,4.16558122634888,0.0641592666506767,0.125690385699272,4.3554310798645,0,0,18.4286823272705,18.4286823272705
3,1,1,1,23,93,75,17,2718,41.859375,81.99609375,2841.85546875,4.16558122634888,0.0641532838344574,0.125666439533234,4.35540103912354,0,0,16.9891757965088,16.9891757965088
3,1,1,1,24,122,103,18,2734,41.859375,82.0859375,2857.9453125,4.19010257720947,0.0641532838344574,0.125804126262665,4.38006019592285,0,0,13.6488037109375,13.6488037109375
3,1,1,1,25,108,86,22,2734,41.859375,82.0703125,2857.9296875,4.19010257720947,0.0641532838344574,0.125780180096626,4.38003587722778,0,0,14.3828811645508,14.3828811645508
3,1,1,1,26,120,96,24,2734,41.86328125,82.08984375,2857.953125,4.19010257720947,0.0641592666506767,0.125810116529465,4.38007211685181,0,0,15.9105587005615,15.9105587005615
3,1,1,1,27,117,96,20,2734,41.88671875,82.078125,2857.96484375,4.19010257720947,0.0641951858997345,0.125792160630226,4.38008975982666,0,0,13.8834218978882,13.8834218978882
3,1,1,1,28,118,95,22,2734,41.84765625,82.1015625,2857.94921875,4.19010257720947,0.0641353204846382,0.125828072428703,4.38006591796875,0,0,16.2305870056152,16.2305870056152
3,1,1,1,29,121,94,26,2734,41.84765625,82.10546875,2857.953125,4.19010257720947,0.0641353204846382,0.125834062695503,4.38007211685181,0,0.191427066922188,14.6728115081787,14.8642387390137
3,1,1,1,30,122,94,27,2734,42.26171875,82.28515625,2858.546875,4.19010257720947,0.06476990878582,0.126109451055527,4.38098192214966,0,0,14.8025035858154,14.8025035858154
4,1,1,2,1,79,56,23,2883,34.51171875,93.37890625,3010.890625,4.41845846176147,0.0528923347592354,0.143111631274223,4.61446237564087,0.383669972419739,0,14.2340183258057,14.6176881790161
4,1,1,2,2,47,45,2,2884,38.40234375,93.38671875,3015.7890625,4.41999101638794,0.0588550679385662,0.143123596906662,4.62196969985962,0.186957687139511,0,13.9013528823853,14.0883102416992
4,1,1,2,3,51,47,3,2885,40.99609375,93.40234375,3019.3984375,4.4215235710144,0.0628302246332169,0.143147543072701,4.62750148773193,0,0,12.87868309021,12.87868309021
4,1,1,2,4,56,49,7,2842,41.0234375,91.65234375,2974.67578125,4.35562229156494,0.0628721341490746,0.140465512871742,4.5589599609375,0,0,14.1073122024536,14.1073122024536
4,1,1,2,5,50,45,5,2782,41.61328125,91.65234375,2915.265625,4.26366710662842,0.0637761205434799,0.140465512871742,4.46790885925293,0.189843833446503,0,14.5797748565674,14.7696189880371
4,1,1,2,6,62,57,5,2782,41.3125,91.6796875,2914.9921875,4.26366710662842,0.0633151456713676,0.140507414937019,4.46748971939087,0.189777493476868,0,13.8811092376709,14.0708866119385
4,1,1,2,7,55,48,6,2782,41.39453125,91.67578125,2915.0703125,4.26366710662842,0.0634408667683601,0.140501439571381,4.46760940551758,0,0,13.3855390548706,13.3855390548706
4,1,1,2,8,63,56,7,2784,41.40234375,91.67578125,2917.078125,4.26673221588135,0.0634528398513794,0.140501439571381,4.47068643569946,0,0,13.5625858306885,13.5625858306885
4,1,1,2,9,75,57,17,2752,41.41796875,91.67578125,2885.09375,4.217689037323,0.0634767860174179,0.140501439571381,4.42166709899902,0,0,13.1275806427002,13.1275806427002
4,1,1,2,10,68,58,9,2752,41.41796875,91.6640625,2885.08203125,4.217689037323,0.0634767860174179,0.140483468770981,4.42164945602417,0,0,14.6335821151733,14.6335821151733
4,1,1,2,11,68,58,10,2752,41.453125,91.69921875,2885.15234375,4.217689037323,0.0635306686162949,0.140537351369858,4.42175722122192,0.193174108862877,0,17.4519481658936,17.6451225280762
4,1,1,2,12,73,58,15,2752,41.52734375,91.70703125,2885.234375,4.217689037323,0.0636444166302681,0.140549331903458,4.42188262939453,0,0,13.8918027877808,13.8918027877808
4,1,1,2,13,78,66,12,2753,41.9296875,79.9921875,2874.921875,4.21922159194946,0.0642610415816307,0.122595272958279,4.40607786178589,0,0,13.0959348678589,13.0959348678589
4,1,1,2,14,76,63,13,2754,41.98046875,79.9921875,2875.97265625,4.22075414657593,0.0643388703465462,0.122595272958279,4.40768814086914,0,0,12.4651479721069,12.4651479721069
4,1,1,2,15,88,74,13,2755,42.30078125,80.03515625,2877.3359375,4.22228670120239,0.0648297742009163,0.122661121189594,4.40977764129639,0,0,13.4447708129883,13.4447708129883
4,1,1,2,16,85,70,15,2756,42.30078125,80.30859375,2878.609375,4.22381973266602,0.0648297742009163,0.123080193996429,4.41172981262207,0,0,13.4597730636597,13.4597730636597
4,1,1,2,17,88,72,16,2759,42.6953125,80.3046875,2882,4.22841739654541,0.0654344335198402,0.12307420372963,4.41692590713501,0,0,14.9157781600952,14.9157781600952
4,1,1,2,18,90,73,17,2759,42.6953125,80.29296875,2881.98828125,4.22841739654541,0.0654344335198402,0.123056247830391,4.41690826416016,0,0,15.4692363739014,15.4692363739014
4,1,1,2,19,91,70,21,2759,42.6640625,79.5625,2881.2265625,4.22841739654541,0.0653865411877632,0.121936731040478,4.41574048995972,0,0,11.7489404678345,11.7489404678345
4,1,1,2,20,102,80,21,2759,42.66796875,79.56640625,2881.234375,4.22841739654541,0.0653925240039825,0.121942721307278,4.41575241088867,0,0,13.515474319458,13.515474319458
4,1,1,2,21,98,79,19,2759,42.66796875,79.5703125,2881.23828125,4.22841739654541,0.0653925240039825,0.121948711574078,4.41575860977173,0,0,13.0246162414551,13.0246162414551
4,1,1,2,22,112,90,21,2759,42.66796875,79.578125,2881.24609375,4.22841739654541,0.0653925240039825,0.121960684657097,4.41577053070068,0,0,13.5053415298462,13.5053415298462
4,1,1,2,23,115,91,23,2760,42.65234375,79.578125,2882.23046875,4.22994995117188,0.065368577837944,0.121960684657097,4.41727924346924,0,0,14.5976734161377,14.5976734161377
