Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,1,2680,2679,0,2347,3.59699010848999,14.2783613204956
3,1,1,1,2,2147,2146,0,2347,3.59699010848999,12.1237573623657
3,1,1,1,3,2882,2881,0,2350,3.60158777236938,11.2607946395874
3,1,1,1,4,3082,3081,0,2350,3.60158777236938,13.2000255584717
3,1,1,1,5,2637,2636,0,2350,3.60158777236938,11.2163257598877
3,1,1,1,6,2883,2882,1,2351,3.60312032699585,9.56082057952881
3,1,1,1,7,3419,3418,1,2353,3.60618543624878,10.9455986022949
3,1,1,1,8,2912,2910,1,2362,3.61997890472412,8.99331760406494
3,1,1,1,9,3164,3163,1,2365,3.62457656860352,11.5873556137085
3,1,1,1,10,3892,3890,1,2365,3.62457656860352,12.1475591659546
3,1,1,1,11,3332,3330,1,2356,3.61078333854675,12.2441816329956
3,1,1,1,12,3423,3421,2,2364,3.62304401397705,9.45246696472168
3,1,1,1,13,4306,4303,2,2363,3.62151145935059,10.5323305130005
3,1,1,1,14,3699,3696,2,2363,3.62151145935059,9.77256298065186
3,1,1,1,15,3819,3817,2,2365,3.62457656860352,13.4614353179932
3,1,1,1,16,4069,4066,2,2369,3.63070702552795,10.3541650772095
3,1,1,1,17,3901,3898,2,2369,3.63070702552795,10.0626392364502
3,1,1,1,18,4056,4052,3,2366,3.62610912322998,11.3276882171631
3,1,1,1,19,4313,4310,3,2374,3.63837003707886,10.0194845199585
3,1,1,1,20,4331,4328,3,2371,3.63377213478088,11.3346366882324
3,1,1,1,21,4560,4556,3,2371,3.63377213478088,12.1432733535767
3,1,1,1,22,4815,4811,3,2362,3.61997890472412,10.2561378479004
3,1,1,1,23,4885,4881,4,2364,3.62304401397705,11.6853475570679
3,1,1,1,24,5293,5289,4,2373,3.63683724403381,9.84370517730713
3,1,1,1,25,4975,4971,4,2371,3.63377213478088,11.911431312561
3,1,1,1,26,5401,5397,4,2379,3.64603281021118,11.1444187164307
3,1,1,1,27,5865,5861,4,2372,3.63530468940735,11.6887426376343
3,1,1,1,28,5292,5288,4,2381,3.64909815788269,10.8492822647095
3,1,1,1,29,5508,5503,4,2377,3.64296770095825,8.81625366210938
3,1,1,1,30,6281,6276,4,2384,3.65369582176209,11.4153547286987
4,1,1,2,1,4334,4334,0,2387,3.65829372406006,12.8335771560669
4,1,1,2,2,4634,4633,0,2387,3.65829372406006,11.7847833633423
4,1,1,2,3,4655,4654,1,2388,3.65982627868652,14.6145391464233
4,1,1,2,4,4417,4416,1,2390,3.66289138793945,13.3916244506836
4,1,1,2,5,5484,5482,1,2393,3.66748905181885,12.0868616104126
4,1,1,2,6,5290,5285,4,2391,3.66442394256592,11.5404996871948
4,1,1,2,7,6058,6056,2,2393,3.66748905181885,10.559365272522
4,1,1,2,8,5851,5848,2,2392,3.66595649719238,12.2744016647339
4,1,1,2,9,5809,5806,3,2401,3.67974996566772,13.9821271896362
4,1,1,2,10,6037,6030,6,2403,3.68281507492065,12.9139471054077
4,1,1,2,11,6617,6613,3,2400,3.67821717262268,11.4628219604492
4,1,1,2,12,6099,6095,4,2405,3.68588018417358,13.0939617156982
4,1,1,2,13,6276,6268,8,2401,3.67974996566772,10.9179649353027
4,1,1,2,14,7240,7235,4,2411,3.69507575035095,9.92697334289551
4,1,1,2,15,7863,7858,5,2409,3.69201064109802,11.5058660507202
4,1,1,2,16,7376,7369,7,2415,3.70120620727539,15.8929567337036
4,1,1,2,17,8165,8159,5,2415,3.70120620727539,12.7009420394897
4,1,1,2,18,8032,8027,5,2420,3.70886921882629,11.8726110458374
4,1,1,2,19,9301,9295,6,2425,3.71653199195862,10.6882572174072
4,1,1,2,20,8540,8534,6,2424,3.71499943733215,10.3371953964233
4,1,1,2,21,9125,9118,6,2416,3.70273876190186,11.1980237960815
4,1,1,2,22,9305,9298,7,2435,3.73185801506042,13.7966375350952
4,1,1,2,23,9980,9972,7,2423,3.71346688270569,11.834358215332
4,1,1,2,24,9840,9832,8,2440,3.73952102661133,12.2716512680054
4,1,1,2,25,10142,10133,8,2425,3.71653199195862,9.54128265380859
4,1,1,2,26,10099,10090,8,2448,3.75178170204163,13.7527379989624
4,1,1,2,27,10555,10546,9,2442,3.74258613586426,14.1920881271362
4,1,1,2,28,10648,10638,9,2436,3.73339056968689,10.7307233810425
4,1,1,2,29,11427,11418,9,2448,3.75178170204163,16.7741870880127
4,1,1,2,30,11731,11721,9,2436,3.73339056968689,9.56229782104492
5,1,1,3,1,5855,5855,0,2386,3.65676093101501,12.8542060852051
5,1,1,3,2,6087,6086,1,2387,3.65829372406006,11.1575527191162
5,1,1,3,3,6443,6441,2,2389,3.66135883331299,12.1014385223389
5,1,1,3,4,6797,6795,2,2391,3.66442394256592,15.0947971343994
5,1,1,3,5,6627,6625,2,2400,3.67821717262268,9.53594303131104
5,1,1,3,6,6940,6937,3,2391,3.66442394256592,10.3069019317627
5,1,1,3,7,7440,7437,3,2389,3.66135883331299,11.6291122436523
5,1,1,3,8,7651,7647,3,2398,3.67515206336975,13.9703807830811
5,1,1,3,9,8044,8039,4,2407,3.68894553184509,10.7632265090942
5,1,1,3,10,8378,8373,4,2400,3.67821717262268,10.1757001876831
5,1,1,3,11,8586,8581,5,2404,3.68434762954712,11.7077302932739
5,1,1,3,12,9051,9045,5,2414,3.69967365264893,12.3046894073486
5,1,1,3,13,9345,9339,6,2415,3.70120620727539,11.3891458511353
5,1,1,3,14,11248,11241,6,2403,3.68281507492065,13.3545236587524
5,1,1,3,15,11408,11401,7,2413,3.69814085960388,10.5689287185669
5,1,1,3,16,10637,10629,7,2419,3.70733642578125,13.7800235748291
5,1,1,3,17,10474,10466,8,2421,3.71040177345276,10.7512693405151
5,1,1,3,18,11478,11469,8,2432,3.72726011276245,10.5830307006836
5,1,1,3,19,11343,11334,9,2427,3.71959733963013,7.55565071105957
5,1,1,3,20,11853,11843,9,2439,3.73798823356628,10.5279998779297
5,1,1,3,21,12278,12268,10,2433,3.72879266738892,10.890308380127
5,1,1,3,22,13040,13029,10,2445,3.74718379974365,11.5081262588501
5,1,1,3,23,13176,13164,11,2442,3.74258613586426,10.6032781600952
5,1,1,3,24,13915,13903,11,2451,3.75637936592102,11.2834129333496
5,1,1,3,25,14052,14040,11,2455,3.76250982284546,12.6467552185059
5,1,1,3,26,13953,13941,12,2450,3.75484681129456,11.5798797607422
5,1,1,3,27,14095,14082,12,2449,3.75331425666809,11.1131954193115
5,1,1,3,28,14886,14872,13,2459,3.76864004135132,11.9530696868896
5,1,1,3,29,15333,15319,13,2467,3.7809009552002,10.2954053878784
5,1,1,3,30,15639,15624,14,2456,3.76404237747192,10.539041519165
6,1,1,4,1,6701,6700,1,2388,3.65982627868652,12.3710346221924
6,1,1,4,2,7351,7349,1,2387,3.65829372406006,12.6167612075806
6,1,1,4,3,7647,7645,2,2392,3.66595649719238,12.1941423416138
6,1,1,4,4,8659,8656,2,2396,3.67208695411682,11.451828956604
6,1,1,4,5,8718,8715,3,2402,3.68128252029419,10.1560802459717
6,1,1,4,6,9569,9565,4,2401,3.67974996566772,10.859055519104
6,1,1,4,7,11013,11008,4,2406,3.68741273880005,11.2487688064575
6,1,1,4,8,10171,10165,5,2402,3.68128252029419,11.0493230819702
6,1,1,4,9,10413,10407,5,2406,3.68741273880005,15.0943784713745
6,1,1,4,10,10761,10754,6,2414,3.69967365264893,10.1466588973999
6,1,1,4,11,10843,10835,8,2412,3.69660830497742,11.543360710144
6,1,1,4,12,11376,11368,8,2416,3.70273876190186,18.0660858154297
6,1,1,4,13,11829,11820,9,2422,3.71193432807922,11.6684656143188
6,1,1,4,14,12195,12185,9,2423,3.71346688270569,11.3231916427612
6,1,1,4,15,13207,13198,9,2424,3.71499943733215,11.2604427337646
6,1,1,4,16,13780,13769,10,2434,3.73032546043396,12.0575714111328
6,1,1,4,17,15040,15029,11,2434,3.73032546043396,10.3575019836426
6,1,1,4,18,16032,16020,11,2437,3.73492312431335,11.8276309967041
6,1,1,4,19,14750,14738,12,2453,3.75944447517395,10.5133476257324
6,1,1,4,20,15942,15929,13,2449,3.75331425666809,11.2771186828613
6,1,1,4,21,15671,15657,13,2457,3.76557493209839,13.3918838500977
6,1,1,4,22,17020,17004,15,2442,3.74258613586426,10.8373184204102
6,1,1,4,23,17160,17144,15,2475,3.79316163063049,12.4964561462402
6,1,1,4,24,17322,17306,15,2480,3.8008246421814,12.0359058380127
6,1,1,4,25,17901,17885,16,2476,3.79469418525696,10.4862880706787
6,1,1,4,26,18747,18730,17,2462,3.77323794364929,10.5390396118164
6,1,1,4,27,18892,18873,18,2490,3.81615042686462,15.6914148330688
6,1,1,4,28,20811,20792,19,2468,3.78243350982666,12.4674501419067
6,1,1,4,29,20315,20296,19,2511,3.84833478927612,10.1263484954834
6,1,1,4,30,21280,21260,19,2475,3.79316163063049,12.4855556488037
7,1,2,4,1,6910,6908,1,2378,3.64450025558472,11.1352491378784
7,1,2,4,2,8230,8228,1,2377,3.64296770095825,12.7215223312378
7,1,2,4,3,8412,8410,2,2384,3.65369582176209,10.9436864852905
7,1,2,4,4,8488,8485,2,2391,3.66442394256592,12.1696939468384
7,1,2,4,5,8414,8410,3,2392,3.66595649719238,15.9626321792603
7,1,2,4,6,9889,9885,3,2388,3.65982627868652,10.4044027328491
7,1,2,4,7,9880,9875,4,2397,3.67361950874329,11.0656309127808
7,1,2,4,8,11510,11505,5,2393,3.66748905181885,11.7415332794189
7,1,2,4,9,11190,11184,5,2403,3.68281507492065,10.0810871124268
7,1,2,4,10,10751,10744,6,2403,3.68281507492065,12.8133888244629
7,1,2,4,11,11581,11574,7,2403,3.68281507492065,10.9051637649536
7,1,2,4,12,10974,10966,7,2407,3.68894553184509,12.6468448638916
7,1,2,4,13,11272,11264,8,2412,3.69660830497742,11.3117895126343
7,1,2,4,14,12473,12464,8,2409,3.69201064109802,10.369402885437
7,1,2,4,15,12791,12781,10,2430,3.72419500350952,11.1067934036255
7,1,2,4,16,12932,12921,10,2428,3.72112989425659,11.1138830184937
7,1,2,4,17,13722,13711,11,2425,3.71653199195862,11.4976291656494
7,1,2,4,18,14551,14539,11,2429,3.72266244888306,10.9118900299072
7,1,2,4,19,15316,15304,12,2431,3.72572755813599,10.929027557373
7,1,2,4,20,15687,15673,13,2438,3.73645567893982,10.0921783447266
7,1,2,4,21,16105,16087,17,2448,3.75178170204163,11.3109741210938
7,1,2,4,22,16550,16535,14,2431,3.72572755813599,13.5838556289673
7,1,2,4,23,16682,16668,14,2465,3.77783560752869,10.5390100479126
7,1,2,4,24,17300,17284,15,2460,3.77017283439636,11.2626371383667
7,1,2,4,25,17881,17863,17,2459,3.76864004135132,14.8880023956299
7,1,2,4,26,18793,18776,16,2451,3.75637936592102,11.6767168045044
7,1,2,4,27,21632,21614,18,2455,3.76250982284546,10.1585855484009
7,1,2,4,28,23032,23003,28,2483,3.80542230606079,12.4066667556763
7,1,2,4,29,20268,20249,19,2462,3.77323794364929,11.8601665496826
7,1,2,4,30,21539,21520,19,2464,3.77630305290222,15.1459102630615
9,1,3,5,1,8920,8918,2,2388,3.65982627868652,11.168737411499
9,1,3,5,2,9159,9156,2,2389,3.66135883331299,13.6442451477051
9,1,3,5,3,9500,9497,2,2394,3.66902184486389,10.5498237609863
9,1,3,5,4,10033,10029,3,2393,3.66748905181885,11.2453413009644
9,1,3,5,5,10809,10805,4,2402,3.68128252029419,11.9443826675415
9,1,3,5,6,11135,11130,5,2400,3.67821717262268,11.856987953186
9,1,3,5,7,12785,12779,5,2406,3.68741273880005,10.1575994491577
9,1,3,5,8,13153,13146,6,2405,3.68588018417358,11.1360836029053
9,1,3,5,9,13130,13122,7,2415,3.70120620727539,9.64883899688721
9,1,3,5,10,14221,14213,8,2408,3.69047808647156,9.70467758178711
9,1,3,5,11,14504,14492,12,2414,3.69967365264893,12.4313621520996
9,1,3,5,12,15823,15813,9,2418,3.70580387115479,12.2269411087036
9,1,3,5,13,15843,15832,10,2424,3.71499943733215,9.85004615783691
9,1,3,5,14,16073,16062,11,2430,3.72419500350952,8.84128761291504
9,1,3,5,15,17055,17043,12,2433,3.72879266738892,11.3106775283813
9,1,3,5,16,17405,17392,12,2438,3.73645567893982,11.3280801773071
9,1,3,5,17,17335,17321,13,2441,3.74105358123779,12.2653799057007
9,1,3,5,18,19111,19097,14,2446,3.74871635437012,10.8337507247925
9,1,3,5,19,18851,18835,15,2453,3.75944447517395,10.2469120025635
9,1,3,5,20,18878,18862,16,2471,3.78703117370605,13.2381038665771
9,1,3,5,21,19563,19546,17,2480,3.8008246421814,12.7718191146851
9,1,3,5,22,21095,21077,18,2470,3.78549861907959,10.0691318511963
9,1,3,5,23,21383,21364,19,2487,3.81155276298523,13.4443950653076
9,1,3,5,24,21781,21761,20,2481,3.80235719680786,12.5041704177856
9,1,3,5,25,22843,22821,21,2490,3.81615042686462,12.2458467483521
9,1,3,5,26,22861,22840,21,2488,3.81308531761169,14.9745826721191
9,1,3,5,27,23258,23235,22,2472,3.78856372833252,11.5196599960327
9,1,3,5,28,25479,25456,23,2494,3.82228088378906,12.2876796722412
9,1,3,5,29,28905,28881,23,2490,3.81615042686462,14.1297178268433
9,1,3,5,30,31277,31252,24,2488,3.81308531761169,10.9815683364868
10,1,3,6,1,10631,10629,1,2414,3.69967365264893,11.9105596542358
10,1,3,6,2,11996,11994,2,2416,3.70273876190186,10.980396270752
10,1,3,6,3,12488,12485,3,2423,3.71346688270569,9.86893081665039
10,1,3,6,4,13107,13103,3,2427,3.71959733963013,11.5412321090698
10,1,3,6,5,13391,13383,7,2429,3.72266244888306,10.9120206832886
10,1,3,6,6,14464,14458,6,2429,3.72266244888306,9.97300624847412
10,1,3,6,7,15533,15526,6,2431,3.72572755813599,12.0674734115601
10,1,3,6,8,16301,16293,7,2432,3.72726011276245,12.6785383224487
10,1,3,6,9,17701,17691,9,2442,3.74258613586426,10.5110130310059
10,1,3,6,10,17465,17455,9,2442,3.74258613586426,11.6567916870117
10,1,3,6,11,17448,17438,10,2445,3.74718379974365,8.81262397766113
10,1,3,6,12,17537,17526,11,2442,3.74258613586426,11.1138868331909
10,1,3,6,13,18843,18831,12,2454,3.76097726821899,12.017858505249
10,1,3,6,14,18809,18794,14,2460,3.77017283439636,11.0739679336548
10,1,3,6,15,19170,19155,15,2473,3.79009628295898,11.4937086105347
10,1,3,6,16,20313,20297,15,2477,3.79622673988342,12.8623485565186
10,1,3,6,17,21453,21435,17,2478,3.79775929450989,11.5082006454468
10,1,3,6,18,23003,22985,17,2479,3.79929184913635,11.734658241272
10,1,3,6,19,23892,23873,18,2485,3.80848741531372,11.4971361160278
10,1,3,6,20,25295,25268,27,2492,3.81921553611755,15.9309864044189
10,1,3,6,21,24958,24928,29,2498,3.82841110229492,13.8243942260742
10,1,3,6,22,25663,25641,22,2494,3.82228088378906,11.8746604919434
10,1,3,6,23,27199,27171,27,2511,3.84833478927612,13.8371601104736
10,1,3,6,24,27634,27610,23,2511,3.84833478927612,11.7809581756592
10,1,3,6,25,29168,29139,28,2511,3.84833478927612,14.0842247009277
10,1,3,6,26,32844,32818,26,2514,3.8529326915741,12.1521520614624
