Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,1,1849,1849,0,2507,3.84220457077026,11.7619705200195
4,1,1,2,1,3899,3899,0,2523,3.86672592163086,12.5031290054321
5,1,1,3,1,5418,5417,0,2375,3.63990259170532,11.4771385192871
6,1,1,4,1,7872,7872,0,2387,3.65829372406006,12.126615524292
7,1,2,4,1,7318,7317,0,2377,3.64296770095825,10.7774572372437
9,1,3,5,1,9262,9261,0,2385,3.65522837638855,13.4729146957397
10,1,3,6,1,11360,11359,1,2413,3.69814085960388,10.4290761947632
11,1,3,7,1,14084,14083,1,2437,3.73492312431335,13.0766868591309
12,1,3,8,1,13770,13768,1,2447,3.75024914741516,12.2597122192383
13,1,3,9,1,16671,16669,1,2455,3.76250982284546,13.0962553024292
14,1,3,10,1,17003,17001,1,2458,3.76710748672485,12.1436433792114
16,1,4,11,1,19615,19613,1,2460,3.77017283439636,10.4083518981934
17,1,4,12,1,18802,18800,1,2485,3.80848741531372,10.7834520339966
18,1,4,13,1,20483,20477,5,2520,3.86212825775146,10.3016452789307
3,1,1,1,1,2056,2056,0,2531,3.87898659706116,13.8574314117432
4,1,1,2,1,5107,5106,0,2396,3.67208695411682,9.00610542297363
5,1,1,3,1,5651,5651,0,2412,3.69660830497742,10.7757577896118
3,1,1,1,1,2394,2390,3,2647,4.05676698684692,11.5195293426514
4,1,1,2,1,3579,3575,4,2593,3.97400736808777,10.7277154922485
5,1,1,3,1,5526,5523,3,2572,3.94182276725769,11.5650320053101
6,1,1,4,1,7201,7197,4,2612,4.00312662124634,12.8608493804932
6,1,1,4,1,7487,7482,5,2474,3.79162907600403,12.6588258743286
7,1,2,4,1,7497,7493,4,2469,3.78396606445313,11.7833824157715
7,1,2,4,1,6802,6798,4,2627,4.02611541748047,12.4093446731567
9,1,3,5,1,9390,9385,4,2321,3.55714273452759,10.0962924957275
9,1,3,5,1,9379,9374,4,2339,3.58472919464111,12.4390830993652
10,1,3,6,1,11806,11801,4,2362,3.61997890472412,10.2565717697144
10,1,3,6,1,11308,11304,3,2374,3.63837003707886,12.5533638000488
11,1,3,7,1,12678,12674,4,2387,3.65829372406006,12.82253074646
11,1,3,7,1,13994,13986,7,2407,3.68894553184509,10.3475503921509
12,1,3,8,1,14459,14454,4,2411,3.69507575035095,12.6533451080322
12,1,3,8,1,16480,16476,4,2426,3.71806454658508,10.3031826019287
13,1,3,9,1,15631,15626,4,2434,3.73032546043396,10.8607425689697
13,1,3,9,1,18106,18101,4,2452,3.75791192054749,11.0714893341064
14,1,3,10,1,18212,18207,4,2450,3.75484681129456,10.0759210586548
14,1,3,10,1,22881,22876,5,2465,3.77783560752869,12.3688583374023
16,1,4,11,1,21301,21296,5,2501,3.8330090045929,11.8747930526733
16,1,4,11,1,19767,19762,4,2525,3.86979103088379,10.9757194519043
17,1,4,12,1,20854,20848,6,2501,3.8330090045929,11.8542032241821
17,1,4,12,1,21877,21871,5,2540,3.8927800655365,12.0693817138672
18,1,4,13,1,23188,23183,5,2552,3.91117095947266,13.0544843673706
18,1,4,13,1,21758,21751,6,2559,3.92189908027649,13.742992401123
