Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,1,68,67,0,2469,3.783966064,10.15584755
3,1,1,1,1,67,67,0,2477,3.79622674,9.00392437
3,1,1,1,1,72,71,0,2479,3.799291849,14.73602962
4,1,1,2,1,130,129,0,2497,3.826878548,10.12716675
4,1,1,2,1,130,129,0,2508,3.843737125,9.337316513
4,1,1,2,1,128,127,0,2513,3.851400137,8.353100777
5,1,1,3,1,208,207,0,2518,3.85906291,7.488896847
5,1,1,3,1,201,200,0,2535,3.885117054,17.54715347
5,1,1,3,1,188,187,0,2543,3.897377729,14.40020657
6,1,1,4,1,274,272,1,2548,3.905040741,16.76913452
6,1,1,4,1,264,263,1,2561,3.924964428,17.60438919
6,1,1,4,1,261,260,1,2566,3.932627201,13.95946693
7,1,1,5,1,326,325,1,2628,4.027647972,16.22290993
7,1,1,5,1,332,331,1,2631,4.03224563598633,14.6264448165894
7,1,1,5,1,314,313,1,2643,4.05063676834106,14.5196113586426
9,1,2,6,1,394,393,1,2651,4.06289768218994,16.255012512207
9,1,2,6,1,382,380,1,2657,4.07209300994873,14.4279432296753
9,1,2,6,1,382,380,1,2662,4.07975578308105,15.0996227264404
10,1,2,7,1,472,470,1,2673,4.09661436080933,12.3171081542969
10,1,2,7,1,463,461,1,2714,4.15945053100586,14.014181137085
10,1,2,7,1,470,469,1,2723,4.1732439994812,9.40745735168457
11,1,2,8,1,527,525,1,2744,4.20542860031128,8.23501110076904
11,1,2,8,1,523,521,1,2744,4.20542860031128,7.89488124847412
11,1,2,8,1,528,526,1,2752,4.217689037323,12.6654644012451
12,1,2,9,1,573,571,1,2758,4.22688484191895,12.459174156189
12,1,2,9,1,589,583,5,2761,4.23148250579834,14.2356662750244
12,1,2,9,1,569,567,1,2772,4.24834108352661,16.9109725952148
13,1,2,10,1,657,655,2,2775,4.25293874740601,11.7817001342773
13,1,2,10,1,658,656,2,2782,4.26366710662842,12.2012939453125
13,1,2,10,1,647,645,2,2791,4.2774600982666,12.9398641586304
14,1,2,11,1,713,710,2,2802,4.29431867599487,13.5192317962646
14,1,2,11,1,699,697,2,2815,4.31424236297607,13.6853561401367
14,1,2,11,1,722,720,2,2823,4.32650327682495,14.797924041748
16,1,3,12,1,752,749,2,2829,4.33569860458374,14.7008504867554
16,1,3,12,1,775,769,5,2830,4.33723115921021,11.0922374725342
16,1,3,12,1,782,779,2,2840,4.35255718231201,15.5116901397705
17,1,3,13,1,883,879,3,2850,4.36788320541382,20.0496082305908
17,1,3,13,1,848,845,2,2859,4.381676197052,16.2973804473877
17,1,3,13,1,861,858,2,2868,4.39546966552734,17.8739452362061
18,1,3,14,1,902,899,2,2877,4.40926313400269,12.5657472610474
18,1,3,14,1,912,910,2,2884,4.41999101638794,12.3848333358765
18,1,3,14,1,890,887,2,2888,4.4261212348938,14.8598785400391
