Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,1,64,64,0,2468,3.78243351,8.615084648
3,1,1,1,2,139,138,0,2468,3.78243351,9.472187996
3,1,1,1,3,200,199,0,2468,3.78243351,12.08699131
3,1,1,1,4,277,276,0,2468,3.78243351,7.17617178
3,1,1,1,5,335,334,1,2468,3.78243351,12.4820385
3,1,1,1,6,414,413,1,2468,3.78243351,7.359089851
3,1,1,1,7,468,466,1,2468,3.78243351,12.64692879
3,1,1,1,8,550,548,1,2469,3.783966064,7.160647869
3,1,1,1,9,615,613,1,2470,3.785498619,11.38721561
3,1,1,1,10,675,673,1,2470,3.785498619,8.954666138
3,1,1,1,11,735,733,2,2470,3.785498619,10.56106472
3,1,1,1,12,833,831,2,2469,3.783966064,8.828371048
3,1,1,1,13,905,903,2,2470,3.785498619,11.77963543
3,1,1,1,14,979,976,2,2473,3.790096283,9.95101738
3,1,1,1,15,1058,1055,2,2473,3.790096283,10.19883633
3,1,1,1,16,1140,1137,2,2469,3.783966064,8.950641632
3,1,1,1,17,1208,1205,2,2471,3.787031174,6.598880768
3,1,1,1,18,1271,1268,3,2475,3.793161631,8.318231583
3,1,1,1,19,1357,1353,3,2469,3.783966064,7.10627079
3,1,1,1,20,1465,1461,3,2471,3.787031174,8.032057762
3,1,1,1,21,1505,1501,3,2475,3.793161631,8.284954071
3,1,1,1,22,1576,1572,3,2470,3.785498619,6.898235321
3,1,1,1,23,1697,1693,3,2472,3.788563728,7.181170464
3,1,1,1,24,1822,1818,4,2468,3.78243351,8.068634033
3,1,1,1,25,1891,1887,4,2470,3.785498619,8.288218498
3,1,1,1,26,1957,1949,8,2468,3.78243351,8.841703415
3,1,1,1,27,2022,2017,4,2471,3.787031174,7.281561852
3,1,1,1,28,2173,2169,4,2471,3.787031174,9.557723045
3,1,1,1,29,2216,2211,5,2475,3.793161631,10.81353569
3,1,1,1,30,2337,2332,5,2472,3.788563728,7.942043304
3,1,1,1,1,67,67,0,2477,3.79622674,19.59494591
3,1,1,1,2,128,127,0,2477,3.79622674,13.72338104
3,1,1,1,3,193,192,0,2477,3.79622674,12.65151024
3,1,1,1,4,258,258,0,2477,3.79622674,13.22405815
3,1,1,1,5,332,331,1,2477,3.79622674,13.45269966
3,1,1,1,6,398,397,1,2477,3.79622674,15.60443974
3,1,1,1,7,478,476,1,2478,3.797759295,19.17193794
3,1,1,1,8,538,536,1,2478,3.797759295,13.92089844
3,1,1,1,9,594,592,1,2480,3.800824642,16.19288254
3,1,1,1,10,671,669,1,2480,3.800824642,14.51185226
3,1,1,1,11,746,745,1,2480,3.800824642,13.45196533
3,1,1,1,12,813,808,5,2475,3.793161631,15.23019028
3,1,1,1,13,888,885,2,2477,3.79622674,16.19830894
3,1,1,1,14,957,955,2,2480,3.800824642,17.65539551
3,1,1,1,15,1021,1018,2,2480,3.800824642,15.43474388
3,1,1,1,16,1100,1097,2,2475,3.793161631,17.26790619
3,1,1,1,17,1211,1205,5,2478,3.797759295,17.04331017
3,1,1,1,18,1263,1260,3,2481,3.802357197,14.21056557
3,1,1,1,19,1336,1333,3,2475,3.793161631,16.95717812
3,1,1,1,20,1457,1453,3,2477,3.79622674,14.61993027
3,1,1,1,21,1518,1514,3,2481,3.802357197,20.21964264
3,1,1,1,22,1582,1579,3,2475,3.793161631,15.24145889
3,1,1,1,23,1670,1666,3,2478,3.797759295,9.078223228
3,1,1,1,24,1791,1787,3,2473,3.790096283,8.455962181
3,1,1,1,25,1865,1858,7,2476,3.794694185,7.290888786
3,1,1,1,26,1963,1959,4,2473,3.790096283,7.547002792
3,1,1,1,27,2041,2036,5,2477,3.79622674,11.26845741
3,1,1,1,28,2178,2173,4,2476,3.794694185,9.57138443
3,1,1,1,29,2245,2240,4,2474,3.791629076,8.464399338
3,1,1,1,30,2313,2308,4,2478,3.797759295,8.481046677
3,1,1,1,1,65,64,0,2480,3.800824642,8.40886879
3,1,1,1,2,137,137,0,2480,3.800824642,7.725702763
3,1,1,1,3,196,195,0,2480,3.800824642,10.64125538
3,1,1,1,4,271,270,0,2480,3.800824642,7.694324017
3,1,1,1,5,331,329,1,2480,3.800824642,8.779401779
3,1,1,1,6,415,414,1,2480,3.800824642,8.498949051
3,1,1,1,7,474,473,1,2480,3.800824642,10.63687038
3,1,1,1,8,542,540,1,2482,3.803889751,10.91204643
