Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,1,66,66,0,2682,4.110407829,18.37821579
3,1,1,1,1,65,65,0,2669,4.090484142,14.67563915
3,1,1,1,1,68,67,0,2692,4.125733852,15.70129108
4,1,1,2,1,124,123,0,2693,4.127266407,16.04371643
4,1,1,2,1,127,126,0,2707,4.148722649,14.03911114
4,1,1,2,1,126,125,0,2717,4.164048672,12.72157764
5,1,1,3,1,194,193,0,2747,4.210026264,18.79092979
5,1,1,3,1,193,192,0,2752,4.217689037,15.86719322
5,1,1,3,1,199,199,0,2731,4.185504913,13.49256229
6,1,1,4,1,259,258,0,2749,4.213091373,14.7576704
6,1,1,4,1,271,270,0,2753,4.219221592,14.18266487
6,1,1,4,1,253,253,0,2758,4.226884842,14.09855175
7,1,1,5,1,317,316,0,2835,4.344894409,17.52584076
7,1,1,5,1,330,329,0,2864,4.38933944702148,14.3422975540161
7,1,1,5,1,659,658,0,2845,4.36021995544434,19.0498371124268
9,1,2,6,1,386,385,1,2862,4.38627433776855,14.5642099380493
9,1,2,6,1,387,385,1,2855,4.37554597854614,18.262378692627
9,1,2,6,1,387,386,1,2851,4.36941576004028,15.9335031509399
10,1,2,7,1,1875,1871,4,2880,4.41386079788208,14.7108774185181
10,1,2,7,1,1885,1880,4,2867,4.39393711090088,15.7247171401978
10,1,2,7,1,1866,1861,4,2914,4.4659686088562,13.9337911605835
11,1,2,8,1,1969,1964,5,2939,4.50428342819214,16.1067752838135
11,1,2,8,1,1950,1946,4,2960,4.53646802902222,16.4494075775146
11,1,2,8,1,1932,1928,4,2970,4.55179405212402,12.5196723937988
12,1,2,9,1,2009,2004,4,2964,4.54259824752808,16.5695705413818
12,1,2,9,1,1947,1942,4,2956,4.53033781051636,15.1040124893188
12,1,2,9,1,2065,2060,4,2960,4.53646802902222,14.8256006240845
13,1,2,10,1,2067,2062,4,2999,4.59623908996582,15.7731447219849
13,1,2,10,1,2059,2054,5,2987,4.57784795761108,14.8184690475464
13,1,2,10,1,2048,2044,4,2988,4.57938051223755,13.4121446609497
14,1,2,11,1,2137,2133,4,3004,4.60390186309814,13.2182674407959
14,1,2,11,1,2098,2093,4,3054,4.68053150177002,17.0541744232178
14,1,2,11,1,2115,2110,4,3041,4.66060781478882,13.3531246185303
16,1,3,12,1,2234,2226,8,3050,4.67440128326416,15.3265867233276
16,1,3,12,1,2268,2263,5,3031,4.64528179168701,14.9015979766846
16,1,3,12,1,2197,2192,4,3030,4.64374923706055,15.293511390686
17,1,3,13,1,2322,2317,4,3055,4.68206405639648,18.25710105896
17,1,3,13,1,2370,2365,5,3038,4.65601015090942,9.07718753814697
17,1,3,13,1,2386,2380,5,3045,4.66673803329468,15.3938293457031
18,1,3,14,1,2380,2373,6,3074,4.71118354797363,14.649001121521
18,1,3,14,1,2425,2419,5,3087,4.73110675811768,14.5679235458374
18,1,3,14,1,2358,2352,5,3103,4.75562858581543,14.6000270843506
