Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,1,67,66,0,2682,4.110407829,14.02686501
3,1,1,1,2,129,128,0,2684,4.113472939,13.76506424
3,1,1,1,3,192,192,0,2656,4.070560455,14.82704735
3,1,1,1,4,266,265,0,2635,4.038375854,14.6581831
3,1,1,1,5,331,330,1,2636,4.039908886,12.27236271
3,1,1,1,6,402,400,1,2636,4.039908886,15.75425911
3,1,1,1,7,488,486,1,2622,4.018452168,19.12456512
3,1,1,1,8,535,533,1,2470,3.785498619,12.8765974
3,1,1,1,9,606,604,1,2468,3.78243351,15.07713032
3,1,1,1,10,667,665,1,2469,3.783966064,19.12459564
3,1,1,1,11,740,738,2,2470,3.785498619,14.04400158
3,1,1,1,12,827,825,2,2471,3.787031174,12.17433929
3,1,1,1,13,893,891,2,2474,3.791629076,13.90042877
3,1,1,1,14,967,964,2,2474,3.791629076,15.8795681
3,1,1,1,15,1042,1039,2,2469,3.783966064,7.992213249
3,1,1,1,16,1112,1109,2,2471,3.787031174,7.32974577
3,1,1,1,17,1192,1189,3,2473,3.790096283,9.80450058
3,1,1,1,18,1271,1268,3,2475,3.793161631,7.757459641
3,1,1,1,19,1351,1348,3,2468,3.78243351,6.468468189
3,1,1,1,20,1439,1435,3,2471,3.787031174,10.22296238
3,1,1,1,21,1519,1515,3,2474,3.791629076,7.239476681
3,1,1,1,22,1585,1581,3,2469,3.783966064,10.50942135
3,1,1,1,23,1667,1663,4,2471,3.787031174,9.781211853
3,1,1,1,24,1751,1747,4,2467,3.780900955,10.43329525
3,1,1,1,25,1880,1876,4,2470,3.785498619,9.868816376
3,1,1,1,26,1998,1994,4,2468,3.78243351,6.046722889
3,1,1,1,27,2044,2040,4,2471,3.787031174,9.402542114
3,1,1,1,28,2128,2123,4,2470,3.785498619,10.8685112
3,1,1,1,29,2229,2224,4,2469,3.783966064,6.217013836
3,1,1,1,30,2283,2278,4,2471,3.787031174,8.901613235
3,1,1,1,1,73,72,1,2667,4.087419033,16.70466423
3,1,1,1,2,130,129,0,2650,4.061365128,16.11944771
3,1,1,1,3,197,197,0,2620,4.015387058,13.78722668
3,1,1,1,4,261,260,0,2617,4.010789394,13.76666546
3,1,1,1,5,329,328,1,2618,4.012321949,17.86671257
3,1,1,1,6,399,395,4,2618,4.012321949,12.81339645
3,1,1,1,7,463,462,1,2619,4.013854504,13.98824787
3,1,1,1,8,537,535,1,2476,3.794694185,14.66858387
3,1,1,1,9,598,597,1,2474,3.791629076,13.49935532
3,1,1,1,10,668,666,1,2474,3.791629076,19.21360397
3,1,1,1,11,734,732,1,2474,3.791629076,15.74020386
3,1,1,1,12,804,802,2,2475,3.793161631,14.8768692
3,1,1,1,13,910,908,2,2477,3.79622674,14.00594139
3,1,1,1,14,953,951,2,2480,3.800824642,15.01346779
3,1,1,1,15,1026,1023,2,2480,3.800824642,16.96697998
3,1,1,1,16,1102,1099,2,2476,3.794694185,18.23930359
3,1,1,1,17,1187,1184,2,2478,3.797759295,13.45239735
3,1,1,1,18,1269,1266,3,2481,3.802357197,14.42787647
3,1,1,1,19,1345,1341,3,2474,3.791629076,13.44307327
3,1,1,1,20,1429,1426,3,2477,3.79622674,12.80893707
3,1,1,1,21,1489,1486,3,2481,3.802357197,16.53302383
3,1,1,1,22,1570,1566,3,2475,3.793161631,17.28590775
3,1,1,1,23,1650,1645,4,2478,3.797759295,15.22737598
3,1,1,1,24,1734,1731,3,2473,3.790096283,13.69630432
3,1,1,1,25,1865,1859,6,2476,3.794694185,14.73138332
3,1,1,1,26,1948,1944,4,2474,3.791629076,16.80232811
3,1,1,1,27,2009,2005,4,2478,3.797759295,17.20473862
3,1,1,1,28,2145,2140,4,2476,3.794694185,14.01569653
3,1,1,1,29,2250,2245,4,2474,3.791629076,15.48325729
3,1,1,1,30,2272,2267,4,2479,3.799291849,15.08936596
3,1,1,1,1,68,67,0,2689,4.121136189,15.80144119
3,1,1,1,2,131,131,0,2680,4.10734272,16.14471817
3,1,1,1,3,192,192,0,2656,4.070560455,14.13766575
3,1,1,1,4,261,260,0,2639,4.04450655,14.00944424
3,1,1,1,5,332,331,1,2639,4.04450655,8.560459137
3,1,1,1,6,409,408,1,2641,4.047571659,10.14575577
3,1,1,1,7,470,469,1,2641,4.047571659,11.16376495
3,1,1,1,8,550,548,1,2480,3.800824642,14.21822453
3,1,1,1,9,621,619,1,2479,3.799291849,7.064316273
3,1,1,1,10,676,674,1,2478,3.797759295,8.778616905
3,1,1,1,11,760,758,1,2478,3.797759295,7.516675949
3,1,1,1,12,822,820,2,2480,3.800824642,9.001599312
3,1,1,1,13,917,914,2,2482,3.803889751,9.113130569
3,1,1,1,14,968,965,2,2484,3.806954861,11.49119663
3,1,1,1,15,1040,1035,5,2484,3.806954861,8.754164696
3,1,1,1,16,1138,1135,2,2480,3.800824642,11.24172688
3,1,1,1,17,1194,1191,2,2482,3.803889751,7.918385506
3,1,1,1,18,1273,1269,3,2486,3.81001997,8.336429596
3,1,1,1,19,1339,1335,3,2480,3.800824642,7.590519428
3,1,1,1,20,1451,1448,3,2482,3.803889751,8.143647194
3,1,1,1,21,1495,1491,3,2486,3.81001997,6.976980686
3,1,1,1,22,1619,1615,3,2481,3.802357197,9.708241463
3,1,1,1,23,1656,1652,4,2483,3.805422306,7.48782444
3,1,1,1,24,1756,1752,3,2479,3.799291849,8.464245796
3,1,1,1,25,1885,1880,4,2481,3.802357197,7.188408852
3,1,1,1,26,1952,1943,8,2479,3.799291849,10.11625957
3,1,1,1,27,2049,2045,4,2482,3.803889751,10.08917522
3,1,1,1,28,2164,2159,4,2481,3.802357197,10.50421333
3,1,1,1,29,2202,2197,4,2486,3.81001997,9.983746529
3,1,1,1,30,2422,2417,5,2483,3.805422306,8.849123001
4,1,1,2,1,67,66,1,2691,4.124201298,16.27722549
4,1,1,2,2,128,127,0,2691,4.124201298,13.33820248
4,1,1,2,3,195,194,0,2679,4.105810165,7.786417007
4,1,1,2,4,272,271,0,2674,4.098146915,6.965634823
4,1,1,2,5,332,331,1,2674,4.098146915,9.906068802
4,1,1,2,6,402,400,1,2675,4.09967947,8.667420387
4,1,1,2,7,462,461,1,2675,4.09967947,9.88929081
4,1,1,2,8,548,546,2,2511,3.848334789,6.04259634
4,1,1,2,9,592,590,1,2497,3.826878548,8.668270111
