Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,1,2562,2561,0,2369,3.63070702552795,10.6782417297363
4,1,1,2,1,4714,4713,0,2422,3.71193432807922,13.0422039031982
5,1,1,3,1,6314,6313,1,2456,3.76404237747192,15.1565227508545
6,1,1,4,1,7614,7613,1,2489,3.81461787223816,11.511173248291
7,1,2,4,1,10488,10487,1,2478,3.79775929450989,9.70782852172852
9,1,3,5,1,15687,15685,1,2493,3.8207483291626,21.9268226623535
10,1,3,6,1,12136,12135,1,2534,3.88358449935913,19.8840141296387
11,1,3,7,1,15826,15824,2,2517,3.85753035545349,13.3057565689087
12,1,3,8,1,18242,18240,2,2557,3.91883397102356,15.5517120361328
13,1,3,9,1,17132,17130,2,2545,3.90044283866882,12.0934038162231
14,1,3,10,1,20218,20216,2,2573,3.94335556030273,11.9974346160889
16,1,4,11,1,20043,20040,2,2553,3.9127037525177,12.8538951873779
17,1,4,12,1,22774,22771,2,2569,3.9372251033783,17.6861324310303
18,1,4,13,1,24060,24057,2,2606,3.99393105506897,12.4271440505981
3,1,1,1,1,2563,2563,0,2386,3.65676093101501,12.2507629394531
4,1,1,2,1,4762,4761,0,2451,3.75637936592102,11.3171939849854
5,1,1,3,1,6616,6615,1,2494,3.82228088378906,13.6557550430298
3,1,1,1,1,2452,2451,0,2457,3.76557493209839,11.0805606842041
4,1,1,2,1,4339,4339,0,2486,3.81001996994019,9.68222236633301
5,1,1,3,1,6372,6371,1,2525,3.86979103088379,14.1957654953003
6,1,1,4,1,7449,7448,1,2553,3.9127037525177,17.6339874267578
6,1,1,4,1,7905,7904,1,2563,3.92802953720093,8.58930110931396
7,1,2,4,1,8932,8931,1,2570,3.93875765800476,10.5806427001953
7,1,2,4,1,8655,8654,1,2577,3.94948577880859,11.4397163391113
9,1,3,5,1,11322,11320,1,2406,3.68741273880005,15.3022747039795
9,1,3,5,1,9900,9899,1,2446,3.74871635437012,12.8483877182007
10,1,3,6,1,13922,13920,2,2467,3.7809009552002,14.8968276977539
10,1,3,6,1,15831,15829,2,2479,3.79929184913635,11.8523740768433
11,1,3,7,1,16076,16074,2,2479,3.79929184913635,14.762505531311
11,1,3,7,1,14789,14787,2,2512,3.84986734390259,13.9480638504028
12,1,3,8,1,18354,18352,2,2526,3.87132358551025,11.5086278915405
12,1,3,8,1,17444,17441,2,2530,3.87745404243469,13.6246185302734
13,1,3,9,1,18964,18961,2,2545,3.90044283866882,14.0139951705933
13,1,3,9,1,18283,18281,2,2530,3.87745404243469,19.3972549438477
14,1,3,10,1,25739,25737,2,2561,3.924964427948,13.9882202148438
14,1,3,10,1,21192,21190,2,2605,3.99239826202393,11.4344816207886
16,1,4,11,1,23284,23281,2,2596,3.97860503196716,13.7666568756104
16,1,4,11,1,22407,22405,2,2628,4.02764797210693,13.5664176940918
17,1,4,12,1,23106,23104,2,2617,4.01078939437866,12.239785194397
17,1,4,12,1,23039,23036,2,2633,4.03531074523926,14.0424098968506
18,1,4,13,1,24295,24292,3,2655,4.0690279006958,15.4763355255127
18,1,4,13,1,24972,24970,2,2669,4.09048414230347,13.2637948989868
