Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
1,0,0,1,1,1735,1733,1,2494,3.822280884,11.53078938
1,0,0,1,2,2161,2160,0,2317,3.551012278,15.23828506
1,0,0,1,3,1871,1870,0,2317,3.551012278,13.39635849
1,0,0,1,4,2370,2370,0,2317,3.551012278,17.945961
1,0,0,1,5,2728,2727,1,2317,3.551012278,12.94426727
1,0,0,1,6,2438,2437,1,2332,3.574001074,12.26968384
1,0,0,1,7,2714,2712,1,2332,3.574001074,13.71631336
1,0,0,1,8,3207,3205,1,2333,3.575533628,14.057621
1,0,0,1,9,2837,2835,1,2333,3.575533628,13.44921303
1,0,0,1,10,3384,3382,1,2333,3.575533628,11.66486073
1,0,0,1,11,3392,3390,2,2334,3.577066422,12.39655495
1,0,0,1,12,3468,3466,2,2332,3.574001074,13.44446659
1,0,0,1,13,3445,3442,2,2332,3.574001074,12.16680336
1,0,0,1,14,3728,3725,2,2346,3.595457315,13.01819801
1,0,0,1,15,4441,4438,2,2337,3.581664085,13.0183115
1,0,0,1,16,3869,3866,3,2339,3.584729195,14.71201324
1,0,0,1,17,4594,4591,3,2333,3.575533628,10.90858841
1,0,0,1,18,4658,4655,3,2348,3.598522663,13.16340446
1,0,0,1,19,4266,4262,3,2342,3.589327097,16.70605278
1,0,0,1,20,4588,4585,3,2339,3.584729195,12.65149879
1,0,0,1,21,5107,5102,4,2344,3.592392206,12.45733261
1,0,0,1,22,4422,4418,4,2345,3.593924761,9.776133537
1,0,0,1,23,4721,4716,4,2357,3.612315893,10.92627144
1,0,0,1,24,5068,5064,4,2351,3.603120327,13.06124878
1,0,0,1,25,4635,4631,4,2352,3.604652882,12.34042358
1,0,0,1,26,5260,5255,4,2356,3.610783339,12.03013325
1,0,0,1,27,5672,5667,4,2356,3.610783339,12.09739685
1,0,0,1,28,5314,5309,4,2359,3.615381002,15.47145081
1,0,0,1,29,5569,5564,4,2365,3.624576569,10.21939278
1,0,0,1,30,6135,6130,4,2358,3.613848448,12.47483349
1,0,0,1,1,2210,2209,1,2355,3.609250784,10.55969906
1,0,0,1,2,2406,2405,0,2356,3.610783339,11.70323563
1,0,0,1,3,2661,2660,0,2356,3.610783339,13.13516045
1,0,0,1,4,2610,2609,0,2358,3.613848448,11.31637287
1,0,0,1,5,2810,2809,1,2360,3.616913557,10.39569473
1,0,0,1,6,3149,3148,1,2362,3.619978905,13.67158318
1,0,0,1,7,3160,3158,1,2365,3.624576569,13.04265118
1,0,0,1,8,3181,3179,1,2364,3.623044014,11.78094006
1,0,0,1,9,3392,3387,4,2368,3.629174471,11.21880817
1,0,0,1,10,3344,3342,1,2374,3.638370037,10.88301659
1,0,0,1,11,3949,3948,1,2374,3.638370037,11.89829731
1,0,0,1,12,3638,3636,2,2372,3.635304689,10.44858265
1,0,0,1,13,4400,4398,2,2378,3.644500256,12.06557465
1,0,0,1,14,4255,4252,2,2375,3.639902592,10.73682785
1,0,0,1,15,4037,4035,2,2375,3.639902592,11.47313976
1,0,0,1,16,4038,4036,2,2373,3.636837244,11.20232487
1,0,0,1,17,4260,4257,2,2376,3.641435146,12.64920044
1,0,0,1,18,4590,4586,4,2376,3.641435146,12.53855038
1,0,0,1,19,4309,4306,3,2382,3.650630713,13.59144783
1,0,0,1,20,4703,4699,3,2379,3.64603281,10.80089474
1,0,0,1,21,4723,4720,3,2387,3.658293724,12.10347748
1,0,0,1,22,4725,4721,3,2383,3.652163267,11.06893349
1,0,0,1,23,5067,5060,7,2386,3.656760931,10.18775558
1,0,0,1,24,5696,5692,4,2390,3.662891388,12.44550323
1,0,0,1,25,4791,4787,4,2393,3.667489052,16.12829208
1,0,0,1,26,5325,5321,4,2400,3.678217173,11.07397461
1,0,0,1,27,6236,6232,4,2394,3.669021845,11.20567417
1,0,0,1,28,5509,5504,4,2398,3.675152063,14.59968376
1,0,0,1,29,5805,5800,4,2404,3.68434763,15.68268108
1,0,0,1,30,6458,6453,4,2399,3.676684618,11.44863033
1,0,0,1,1,2010,2009,1,2356,3.610783339,10.37077522
1,0,0,1,2,2697,2697,0,2356,3.610783339,10.93491459
1,0,0,1,3,2416,2415,0,2356,3.610783339,11.15689564
1,0,0,1,4,2531,2530,0,2357,3.612315893,11.55439949
1,0,0,1,5,3011,3009,1,2359,3.615381002,11.48671818
1,0,0,1,6,2761,2760,1,2362,3.619978905,12.37239075
1,0,0,1,7,3203,3202,1,2363,3.621511459,10.63251114
1,0,0,1,8,3813,3811,1,2367,3.627641916,11.90485668
1,0,0,1,9,3397,3395,1,2365,3.624576569,12.07197285
1,0,0,1,10,3695,3693,1,2372,3.635304689,10.72860527
1,0,0,1,11,3760,3758,1,2374,3.638370037,11.57326984
1,0,0,1,12,3454,3449,4,2372,3.635304689,11.88033581
1,0,0,1,13,4080,4078,2,2377,3.642967701,10.23592567
1,0,0,1,14,3826,3823,2,2375,3.639902592,13.68131351
1,0,0,1,15,3811,3808,2,2372,3.635304689,13.88206196
1,0,0,1,16,4014,4012,2,2374,3.638370037,10.79403591
1,0,0,1,17,4323,4320,2,2375,3.639902592,9.618086815
1,0,0,1,18,4956,4953,3,2376,3.641435146,10.17316341
1,0,0,1,19,4300,4297,3,2377,3.642967701,10.84048271
1,0,0,1,20,5420,5417,3,2380,3.647565365,13.24195671
1,0,0,1,21,4693,4689,3,2391,3.664423943,13.13610935
1,0,0,1,22,4730,4726,4,2387,3.658293724,11.65608788
1,0,0,1,23,5115,5111,4,2386,3.656760931,9.84965229
1,0,0,1,24,4905,4901,3,2386,3.656760931,9.532652855
1,0,0,1,25,5342,5338,4,2388,3.659826279,12.27827358
1,0,0,1,26,5671,5667,4,2390,3.662891388,11.34835529
1,0,0,1,27,5488,5483,4,2400,3.678217173,9.802248001
1,0,0,1,28,5673,5668,4,2394,3.669021845,13.94527531
1,0,0,1,29,6211,6206,4,2404,3.68434763,12.64894009
1,0,0,1,30,5828,5823,4,2406,3.687412739,13.01178932
1,0,0,1,1,2411,2410,0,2348,3.598522663,11.32771683
1,0,0,1,2,3064,3063,0,2335,3.578598976,11.13541317
1,0,0,1,3,2790,2789,0,2335,3.578598976,12.30079079
1,0,0,1,4,3077,3076,0,2335,3.578598976,13.03011036
1,0,0,1,5,2872,2871,1,2335,3.578598976,11.18728638
1,0,0,1,6,3076,3075,1,2350,3.601587772,11.55266953
1,0,0,1,7,3249,3248,1,2350,3.601587772,12.35015297
1,0,0,1,8,3327,3325,1,2350,3.601587772,10.69448566
1,0,0,1,9,4366,4364,1,2348,3.598522663,11.68380928
1,0,0,1,10,3220,3218,1,2348,3.598522663,9.939427376
1,0,0,1,11,3508,3506,2,2348,3.598522663,11.12515545
1,0,0,1,12,3504,3501,2,2347,3.596990108,11.14317894
1,0,0,1,13,3855,3853,2,2347,3.596990108,12.5323267
1,0,0,1,14,4505,4503,2,2363,3.621511459,10.88915062
1,0,0,1,15,3925,3922,2,2347,3.596990108,12.67271805
1,0,0,1,16,4462,4460,2,2356,3.610783339,11.2999897
1,0,0,1,17,4167,4164,2,2353,3.606185436,12.48571014
1,0,0,1,18,5055,5052,3,2354,3.607718229,14.39763927
1,0,0,1,19,4925,4922,3,2355,3.609250784,12.16724873
1,0,0,1,20,4708,4704,3,2355,3.609250784,12.44892311
1,0,0,1,21,4802,4798,3,2361,3.61844635,10.73069382
1,0,0,1,22,5051,5047,3,2368,3.629174471,12.28770256
1,0,0,1,23,5471,5466,4,2369,3.630707026,13.30971432
