Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%),,,,,,
3,1,1,1,1,54,30,23,3453,38.43359375,96.7734375,3588.207031,5.292035103,0.05890296,0.148314059,5.499252319,0,0,15.79918098,15.79918098,,,3,41.33333333,3608.230469,15.78443845
3,1,1,1,1,35,32,2,3479,42.6875,82.6015625,3604.289063,5.331882477,0.06542246,0.12659438,5.523899078,0,0,15.9594698,15.9594698,,,,,,
3,1,1,1,1,35,32,3,3504,45.4140625,82.78125,3632.195313,5.370197296,0.069601163,0.126869768,5.566668034,0,0,15.59466457,15.59466457,,,,,,
4,1,1,2,1,80,56,23,3444,34.328125,92.2109375,3570.539063,5.278241634,0.05261096,0.141321614,5.472174168,0.193472818,0,15.59947395,15.79294682,,,4,57,3628.740886,15.71545856
4,1,1,2,1,49,45,3,3518,42.63671875,96.6875,3657.324219,5.391653538,0.065344632,0.148182347,5.60518074,0,0,16.31466866,16.31466866,,,,,,
4,1,1,2,1,42,37,4,3521,45.2734375,92.0859375,3658.359375,5.396251202,0.06938564,0.14113003,5.606766701,0,0,15.03876019,15.03876019,,,,,,
5,1,1,3,1,79,57,21,3444,34.171875,96.9296875,3575.101563,5.278241634,0.052371491,0.14855352,5.479166508,0.382934451,0,15.26878738,15.65172195,,,5,58,3659.458334,13.86494477
5,1,1,3,1,48,43,4,3529,43.015625,121.8515625,3693.867188,5.408512115,0.065925337,0.186748549,5.661186218,0,0,13.26691818,13.26691818,,,,,,
5,1,1,3,1,47,42,4,3576,43,90.40625,3709.40625,5.480543613,0.065901391,0.138555765,5.685000896,0,0,12.67619419,12.67619419,,,,,,
6,1,1,4,1,87,60,26,3434,34.33984375,122.59375,3590.933594,5.262916088,0.052628919,0.187886015,5.503430843,0.379377604,0,16.57941628,16.95879364,,,6,62,3690.080729,15.64319197
6,1,1,4,1,50,45,5,3584,42.70703125,122.4179688,3749.125,5.492804527,0.065452389,0.187616616,5.745873451,0,0,14.18928909,14.18928909,,,,,,
6,1,1,4,1,49,44,5,3589,42.21484375,98.96875,3730.183594,5.5004673,0.06469807,0.151678577,5.716844082,0,0,15.78149319,15.78149319,,,,,,
7,1,2,4,1,78,56,22,3512,34.4921875,126.3671875,3672.859375,5.382457733,0.052862402,0.193669155,5.62898922,0.384139806,0,15.62083817,16.00497818,,,7,59,3713.713542,15.69062837
7,1,2,4,1,49,43,6,3598,43.03515625,87.34765625,3728.382813,5.514260769,0.065955274,0.133868188,5.714084148,0,0,15.65837002,15.65837002,,,,,,
7,1,2,4,1,50,44,5,3611,42.3984375,86.5,3739.898438,5.534184456,0.064979441,0.132569075,5.731732845,0,0,15.40853691,15.40853691,,,,,,
9,1,3,5,1,79,57,22,3422,34.55078125,123.8984375,3580.449219,5.244524956,0.0529522,0.189885572,5.487362862,0.388731867,0,12.87677765,13.26550961,,,9,70,3714.733073,14.98237705
9,1,3,5,1,68,60,8,3618,42.578125,128.6914063,3789.269531,5.544912338,0.06525483,0.197231233,5.807398319,0,0,15.550354,15.550354,,,,,,
9,1,3,5,1,63,55,7,3629,42.203125,103.2773438,3774.480469,5.561770916,0.064680107,0.158281878,5.784732819,0,0,16.13126755,16.13126755,,,,,,
10,1,3,6,1,78,55,23,3468,34.59375,113.1328125,3615.726563,5.315023899,0.053018052,0.173386276,5.541428089,0.384036005,0,13.81897926,14.20301533,,,10,68.33333333,3736.720052,14.21392218
10,1,3,6,1,63,55,8,3640,42.80078125,112.8710938,3795.671875,5.578629494,0.065596074,0.172985166,5.817210674,0,0,14.8034153,14.8034153,,,,,,
10,1,3,6,1,64,55,8,3645,42.6171875,111.1445313,3798.761719,5.586292744,0.065314695,0.170339063,5.821946621,0,0,13.63533592,13.63533592,,,,,,
11,1,3,7,1,77,54,22,3448,34.7265625,113.6171875,3596.34375,5.28437233,0.053221602,0.174128622,5.511722565,0.191053569,0,14.20155334,14.39260674,,,11,70.33333333,3746.511719,14.4768877
11,1,3,7,1,69,59,9,3655,42.61328125,121.703125,3819.316406,5.60161829,0.065308712,0.186521053,5.853447914,0,0,13.37790298,13.37790298,,,,,,
11,1,3,7,1,65,56,8,3663,42.1953125,118.6796875,3823.875,5.613879204,0.064668134,0.181887373,5.860434532,0,0,15.66015339,15.66015339,,,,,,
12,1,3,8,1,78,55,23,3495,34.76171875,99.65625,3629.417969,5.356403828,0.053275481,0.152732223,5.562411308,0.377255678,0,14.98595333,15.36320877,,,12,78.33333333,3767.045573,14.37715244
12,1,3,8,1,77,67,10,3668,43.01953125,121.7304688,3832.75,5.621541977,0.065931328,0.18656297,5.874036312,0,0,12.11913109,12.11913109,,,,,,
12,1,3,8,1,80,67,12,3677,42.890625,119.078125,3838.96875,5.635335445,0.065733768,0.182498008,5.883567333,0,0,15.64911747,15.64911747,,,,,,
13,1,3,9,1,81,58,22,3468,34.5546875,141.25,3643.804688,5.315023899,0.052958187,0.216478407,5.584460258,0.379179627,0,14.12845802,14.50763798,,,13,79.66666667,3789.796875,14.23634466
13,1,3,9,1,78,67,11,3679,44.13671875,144.859375,3867.996094,5.638400555,0.067643516,0.222010106,5.928054333,0,0,15.42167187,15.42167187,,,,,,
13,1,3,9,1,80,68,11,3684,43.57421875,130.015625,3857.589844,5.646063328,0.066781439,0.199260712,5.91210556,0,0,12.77972412,12.77972412,,,,,,
14,1,3,10,1,84,60,24,2911,34.66796875,115.328125,3060.996094,4.461370945,0.0531318,0.176750794,4.691253662,0.380316645,0,11.67471218,12.05502892,,,14,82,3607.638021,15.40731112
14,1,3,10,1,82,67,14,3690,44.7109375,147.0859375,3881.796875,5.655259132,0.068523563,0.225422516,5.949205399,0,0,16.70875359,16.70875359,,,,,,
14,1,3,10,1,80,68,11,3703,44.73046875,132.390625,3880.121094,5.675182819,0.068553492,0.202900618,5.946637154,0,0,17.45815086,17.45815086,,,,,,
16,1,4,11,1,88,64,23,2844,34.69921875,122.1367188,3000.835938,4.358687401,0.053179692,0.187185585,4.599052906,0.382205635,0,12.31893063,12.70113659,,,16,91.33333333,3586.138021,14.0767374
16,1,4,11,1,93,80,13,3710,44.8984375,123.4609375,3878.359375,5.685910702,0.068810917,0.189215064,5.943936825,0,0,13.49655533,13.49655533,,,,,,
16,1,4,11,1,93,79,13,3716,42.59765625,120.6210938,3879.21875,5.695106506,0.065284766,0.184862748,5.945253849,0,0,16.03252029,16.03252029,,,,,,
17,1,4,12,1,92,66,26,2841,34.60546875,116.1835938,2991.789063,4.354089737,0.053036015,0.178061873,4.585187435,0.381118655,0,13.61903954,14.00015831,,,17,94,3674.735352,14.5342629
17,1,4,12,1,93,79,13,3732,44.5703125,121.5976563,3898.167969,5.719627857,0.06830804,0.18635942,5.974295139,0,0,13.29284191,13.29284191,,,,,,
17,1,4,12,1,99,85,14,3740,44.8359375,118.5625,3903.398438,5.731888771,0.068715133,0.18170777,5.982311726,0,0,15.0901432,15.0901432,,,,,,
17,1,4,12,1,92,78,14,3745,42.95703125,117.6289063,3905.585938,5.739551544,0.065835543,0.180276945,5.985663891,0,0,15.75390816,15.75390816,,,,,,
18,1,4,13,1,88,61,26,2941,34.8046875,177.453125,3153.257813,4.507348537,0.053341337,0.27196297,4.832653046,0.38594991,0,12.88009262,13.26604271,,,18,91,3674.127604,13.97318776
18,1,4,13,1,93,79,14,3766,45.0703125,133.8671875,3944.9375,5.771736145,0.069074333,0.205163583,6.045974255,0,0,14.75997734,14.75997734,,,,,,
18,1,4,13,1,92,78,14,3772,45.21484375,106.9726563,3924.1875,5.780931473,0.069295838,0.163945287,6.014172554,0,0,13.89354324,13.89354324,,,,,,
