Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
3,1,1,1,1,72,50,22,3284,34.4453125,96.42578125,3414.871094,5.033027172,0.05279056,0.147781238,5.233599186,0.383242905,0,12.44120312,12.82444572
3,1,1,1,2,42,41,0,3262,37.98828125,96.42578125,3396.414063,4.999310493,0.05822048,0.147781238,5.205312252,0.192608356,0,15.55909348,15.75170135
3,1,1,1,3,34,33,1,3262,40.86328125,96.50390625,3399.367188,4.999310493,0.062626675,0.147900969,5.209837914,0.189861357,0,14.06212902,14.25199032
3,1,1,1,4,35,34,1,3104,41,96.5234375,3241.523438,4.75716114,0.062836215,0.147930905,4.96792841,0,0,12.01358128,12.01358128
3,1,1,1,5,35,34,1,3104,41.046875,96.546875,3241.59375,4.75716114,0.062908053,0.147966832,4.968036175,0,0,11.28697681,11.28697681
3,1,1,1,6,35,33,1,3104,41.0390625,96.546875,3241.585938,4.75716114,0.06289608,0.147966832,4.968024254,0,0,11.66111469,11.66111469
3,1,1,1,7,47,45,2,3105,41.125,84.390625,3230.515625,4.758693695,0.063027784,0.129336268,4.951057911,0,0,15.87887573,15.87887573
3,1,1,1,8,35,33,2,3105,41.125,84.3984375,3230.523438,4.758693695,0.063027784,0.129348248,4.951069832,0,0,14.99369335,14.99369335
3,1,1,1,9,35,33,2,3105,41.28515625,82.859375,3229.144531,4.758693695,0.063273236,0.126989499,4.94895649,0,0,13.55673027,13.55673027
3,1,1,1,10,35,32,2,3105,41.28515625,82.8515625,3229.136719,4.758693695,0.063273236,0.126977518,4.948944569,0,0,15.77909279,15.77909279
3,1,1,1,11,36,33,3,3106,41.3515625,82.4140625,3229.765625,4.76022625,0.063375011,0.126307011,4.949908257,0,0,13.48113823,13.48113823
3,1,1,1,12,36,33,3,3106,41.5546875,82.4140625,3229.96875,4.76022625,0.063686319,0.126307011,4.950219631,0,0,18.28199387,18.28199387
3,1,1,1,13,36,33,3,3106,41.61328125,82.4140625,3230.027344,4.76022625,0.063776121,0.126307011,4.950309277,0,0,15.90609741,15.90609741
3,1,1,1,14,36,32,3,3106,41.81640625,82.4140625,3230.230469,4.76022625,0.064087428,0.126307011,4.950620651,0,0,11.87237167,11.87237167
