Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
1,0,0,1,1,56,35,20,3168,40.984375,154.984375,3363.96875,4.855247021,0.062812269,0.237527594,5.15558672,0,0,12.07948017,12.07948017
1,0,0,1,1,55,34,20,3170,41.08984375,154.7773438,3365.867188,4.85831213,0.062973909,0.237210289,5.15849638,0,0,13.75456715,13.75456715
1,0,0,1,2,53,31,21,3210,41.41015625,154.7382813,3406.148438,4.919615746,0.063464813,0.237150431,5.220231056,0,0,14.14657211,14.14657211
1,0,0,1,2,55,34,20,3206,41.13671875,154.7695313,3401.90625,4.91348505,0.063045748,0.237198323,5.213728905,0,0,13.67583752,13.67583752
1,0,0,1,3,55,33,22,3233,41.17578125,155,3429.175781,4.954864979,0.063105613,0.23755154,5.255522251,0,0,14.21508217,14.21508217
1,0,0,1,3,54,33,21,3251,41.359375,155.0234375,3447.382813,4.982451916,0.063386984,0.237587452,5.283426285,0,0,11.98812199,11.98812199
1,0,0,1,4,54,33,21,3217,41.3515625,154.8320313,3413.183594,4.930343628,0.063375011,0.237294108,5.231012821,0,0,12.8463583,12.8463583
1,0,0,1,4,54,33,21,3228,41.36328125,154.8007813,3424.164063,4.947202206,0.063392974,0.237246215,5.247841358,0,0,13.64946938,13.64946938
1,0,0,1,5,55,34,21,3230,41.17578125,154.796875,3425.972656,4.950267315,0.063105613,0.237240225,5.250613213,0,0,15.68377495,15.68377495
1,0,0,1,5,54,32,22,3220,41.203125,154.828125,3416.03125,4.934941769,0.063147523,0.237288117,5.235377312,0,0,13.62091637,13.62091637
1,0,0,1,6,54,32,22,3255,41.42578125,154.9609375,3451.386719,4.988582134,0.063488759,0.237491667,5.289562702,0,0,16.08115959,16.08115959
1,0,0,1,6,59,36,22,3263,41.6953125,149.5078125,3454.203125,5.000843048,0.063901842,0.229134262,5.293879032,0,0,17.3555069,17.3555069
1,0,0,1,7,55,33,22,3281,41.78515625,149.4960938,3472.28125,5.028429508,0.064039536,0.229116306,5.321585178,0,0,16.17903328,16.17903328
1,0,0,1,7,55,32,22,3287,41.77734375,149.4960938,3478.273438,5.037625313,0.064027563,0.229116306,5.330769062,0,0,13.6248455,13.6248455
1,0,0,1,8,63,36,26,3309,41.78125,149.515625,3500.296875,5.071341991,0.064033546,0.229146227,5.36452198,0,0,15.97493458,15.97493458
1,0,0,1,8,62,37,25,3305,41.78125,149.53125,3496.3125,5.065211773,0.064033546,0.229170173,5.358415604,0,0,15.47604942,15.47604942
1,0,0,1,9,58,34,24,3338,41.78515625,149.4492188,3529.234375,5.115787029,0.064039536,0.229044452,5.408871174,0,0,15.75531673,15.75531673
1,0,0,1,9,62,38,24,3354,41.91796875,149.4609375,3545.378906,5.140308857,0.064243086,0.229062423,5.433614254,0,0,16.79072762,16.79072762
1,0,0,1,10,57,34,23,3356,41.8828125,149.5351563,3547.417969,5.143373966,0.064189203,0.229176164,5.436739445,0,0,14.99379539,14.99379539
1,0,0,1,10,61,35,26,3337,41.5703125,149.5273438,3528.097656,5.114254475,0.063710265,0.229164198,5.407128811,0,0,13.20367622,13.20367622
1,0,0,1,11,60,36,24,3349,41.57421875,149.546875,3540.121094,5.132645607,0.063716255,0.22919412,5.425556183,0,0,16.63034058,16.63034058
1,0,0,1,11,61,37,23,3331,41.57421875,149.2070313,3521.78125,5.105059147,0.063716255,0.228673279,5.39744854,0,0,15.23195839,15.23195839
1,0,0,1,12,58,34,24,3361,41.5625,149.2070313,3551.769531,5.151036739,0.063698292,0.228673279,5.443408489,0,0,11.57373524,11.57373524
1,0,0,1,12,60,35,25,3358,41.5703125,149.2851563,3548.855469,5.146439075,0.063710265,0.228793025,5.438942432,0,0,14.10558796,14.10558796
1,0,0,1,13,58,34,23,3417,41.57421875,149.3164063,3607.890625,5.236861706,0.063716255,0.228840917,5.529418945,0,0,12.71846294,12.71846294
1,0,0,1,13,59,34,25,3383,41.578125,149.3320313,3573.910156,5.184753895,0.063722238,0.228864864,5.477341175,0,0,15.82763672,15.82763672
1,0,0,1,14,57,32,24,3380,42.14453125,149.3085938,3571.453125,5.180156231,0.064590313,0.228828937,5.473575592,0,0,14.88145256,14.88145256
1,0,0,1,14,60,35,25,3394,42.171875,149.3046875,3585.476563,5.201612473,0.064632215,0.228822947,5.495067596,0,0,15.95423412,15.95423412
1,0,0,1,15,59,34,24,3385,42.18359375,149.3164063,3576.5,5.187819004,0.064650178,0.228840917,5.481309891,0,0,16.49058151,16.49058151
1,0,0,1,15,70,41,29,3419,41.87109375,149.2734375,3610.144531,5.239926815,0.06417124,0.228775054,5.532873154,0,0,17.06091881,17.06091881
1,0,0,1,16,55,30,24,3414,41.83203125,149.9570313,3605.789063,5.232264042,0.064111374,0.229822725,5.52619791,0,0,12.37867355,12.37867355
1,0,0,1,16,59,34,25,3423,41.8359375,149.9726563,3614.808594,5.24605751,0.064117365,0.229846671,5.54002142,0,0,12.21634865,12.21634865
1,0,0,1,17,59,33,25,3400,41.515625,149.9804688,3591.496094,5.2108078,0.063626453,0.229858652,5.504292965,0,0,13.99392891,13.99392891
