Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
1,0,0,1,1,64,43,20,2914,35.08984375,114.9492188,3064.039063,4.465968609,0.053778362,0.176170081,4.69591713,0,0,13.29456234,13.29456234
1,0,0,1,1,52,31,20,2966,38.8125,115.0039063,3119.816406,4.545663357,0.05948367,0.1762539,4.781401157,0,0,15.90816689,15.90816689
1,0,0,1,1,52,32,20,3010,41.42578125,114.953125,3166.378906,4.613097668,0.063488759,0.176176071,4.852762699,0,0,16.70506668,16.70506668
1,0,0,1,1,54,35,19,2991,41.46484375,114.828125,3147.292969,4.583978176,0.063548625,0.175984502,4.823511124,0,0,12.44459343,12.44459343
1,0,0,1,1,54,33,20,2965,41.57421875,114.7617188,3121.335938,4.544130802,0.063716255,0.175882727,4.783729553,0,0,14.72764301,14.72764301
1,0,0,1,1,52,33,19,3062,41.54296875,114.7695313,3218.3125,4.692792416,0.063668363,0.175894693,4.932355404,0,0,13.41548157,13.41548157
1,0,0,1,1,53,33,20,2971,41.5703125,114.7695313,3127.339844,4.553326607,0.063710265,0.175894693,4.792931557,0,0,15.55968094,15.55968094
1,0,0,1,1,54,32,21,3012,41.56640625,114.7617188,3168.328125,4.616162777,0.063704282,0.175882727,4.855749607,0,0,14.66491795,14.66491795
1,0,0,1,1,52,32,19,3019,41.55078125,118.5195313,3179.070313,4.626890659,0.063680336,0.181641906,4.872212887,0,0,12.29807854,12.29807854
1,0,0,1,1,53,32,21,3063,41.60546875,118.5351563,3223.140625,4.69432497,0.063764147,0.181665853,4.939754963,0,0,13.61903954,13.61903954
1,0,0,1,1,54,34,19,3049,41.51171875,118.5507813,3209.0625,4.672868729,0.06362047,0.181689799,4.918179035,0,0,14.80792046,14.80792046
1,0,0,1,1,52,31,20,3069,41.5390625,118.5546875,3229.09375,4.703520298,0.063662373,0.181695789,4.948878288,0,0,14.46420383,14.46420383
1,0,0,1,1,55,34,20,3076,41.4921875,118.5234375,3236.015625,4.714248657,0.063590534,0.181647897,4.959486961,0,0,13.65472031,13.65472031
1,0,0,1,1,56,35,21,3058,41.95703125,118.546875,3218.503906,4.68666172,0.064302951,0.181683823,4.932648659,0,0,14.1348362,14.1348362
1,0,0,1,1,52,31,20,3104,42.09765625,118.5585938,3264.65625,4.75716114,0.064518467,0.181701779,5.003381252,0,0,16.35867882,16.35867882
1,0,0,1,1,53,33,20,5282,48.05078125,84.87890625,5414.9296875,8.09514331817627,0.0736421719193459,0.130084604024887,8.29887008666992,0,0,14.2927007675171,14.2927007675171
1,0,0,1,1,64,43,21,5254,34.58984375,84.16796875,5372.7578125,8.05223083496094,0.0530120655894279,0.128995031118393,8.23423767089844,0,0,13.9698791503906,13.9698791503906
1,0,0,1,1,68,46,21,5199,34.76171875,101.25,5335.01171875,7.96793842315674,0.0532754808664322,0.155174791812897,8.17638874053955,0,0,17.6057071685791,17.6057071685791
1,0,0,1,1,53,33,19,5166,38.48046875,100.99609375,5305.4765625,7.91736268997192,0.0589748024940491,0.154785662889481,8.13112354278564,0,0,13.5861291885376,13.5861291885376
1,0,0,1,1,53,32,20,4983,41.1796875,99.04296875,5123.22265625,7.63689851760864,0.0631115958094597,0.15179231762886,7.85180234909058,0,0,13.3802757263184,13.3802757263184
1,0,0,1,1,58,37,21,5035,41.23046875,99.03125,5175.26171875,7.71659326553345,0.0631894245743752,0.151774361729622,7.93155717849731,0,0,13.9222984313965,13.9222984313965
