Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
3,1,1,1,1,72,72,0,2469,3.783966064,8.758892059
3,1,1,1,2,133,129,4,2469,3.783966064,9.136536598
3,1,1,1,3,207,205,1,2469,3.783966064,8.176029205
3,1,1,1,4,272,270,2,2470,3.785498619,14.53256798
3,1,1,1,5,340,337,2,2470,3.785498619,8.160918236
3,1,1,1,6,400,394,5,2470,3.785498619,11.95944118
3,1,1,1,7,476,473,3,2470,3.785498619,10.65572453
3,1,1,1,8,541,537,4,2471,3.787031174,10.31627655
3,1,1,1,9,630,626,4,2473,3.790096283,8.936948776
3,1,1,1,10,677,672,4,2473,3.790096283,10.65138149
3,1,1,1,11,759,753,5,2473,3.790096283,8.474424362
3,1,1,1,12,833,827,5,2470,3.785498619,11.05187416
3,1,1,1,13,919,912,6,2471,3.787031174,10.68541431
3,1,1,1,14,974,966,7,2475,3.793161631,11.29348373
3,1,1,1,15,1059,1052,7,2475,3.793161631,7.710004807
3,1,1,1,16,1126,1115,10,2471,3.787031174,8.862333298
3,1,1,1,17,1217,1208,8,2473,3.790096283,6.822816372
3,1,1,1,18,1284,1275,8,2477,3.79622674,8.904482841
3,1,1,1,19,1354,1344,9,2471,3.787031174,7.202683926
3,1,1,1,20,1443,1430,12,2473,3.790096283,7.31017828
3,1,1,1,21,1535,1522,13,2477,3.79622674,7.708975792
3,1,1,1,22,1621,1607,13,2470,3.785498619,10.52825737
3,1,1,1,23,1662,1651,11,2475,3.793161631,7.755863667
3,1,1,1,24,1778,1767,11,2472,3.788563728,11.90373707
3,1,1,1,25,1854,1842,12,2475,3.793161631,6.311099052
3,1,1,1,26,1953,1937,16,2469,3.783966064,8.776118279
3,1,1,1,27,2065,2049,15,2474,3.791629076,9.543638229
3,1,1,1,28,2155,2140,14,2473,3.790096283,8.656785011
3,1,1,1,29,2250,2233,17,2470,3.785498619,8.530950546
3,1,1,1,30,2303,2288,14,2475,3.793161631,11.40358734
3,1,1,1,1,72,72,0,2477,3.79622674,7.193648815
3,1,1,1,2,130,129,1,2477,3.79622674,11.22845745
3,1,1,1,3,203,202,1,2477,3.79622674,7.711991787
3,1,1,1,4,266,263,2,2477,3.79622674,11.02508163
3,1,1,1,5,340,338,2,2477,3.79622674,8.728809357
3,1,1,1,6,399,396,3,2478,3.797759295,13.81964684
3,1,1,1,7,487,483,3,2479,3.799291849,6.483166695
3,1,1,1,8,534,527,7,2480,3.800824642,8.652845383
3,1,1,1,9,614,606,7,2480,3.800824642,7.724734306
3,1,1,1,10,672,668,4,2480,3.800824642,9.649012566
3,1,1,1,11,762,754,8,2476,3.794694185,7.370539188
3,1,1,1,12,825,819,5,2477,3.79622674,9.444815636
3,1,1,1,13,903,897,6,2481,3.802357197,8.673816681
3,1,1,1,14,961,955,6,2481,3.802357197,9.090410233
3,1,1,1,15,1040,1033,7,2477,3.79622674,10.9019556
3,1,1,1,16,1128,1120,8,2479,3.799291849,10.27650642
