Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
1,0,0,1,1,1409,1406,3,1837,2.815368891,14.49627876
1,0,0,1,1,1386,1383,2,1951,2.990084171,12.62222385
1,0,0,1,1,1432,1429,3,1945,2.980888605,18.030653
1,0,0,1,1,1445,1442,2,1939,2.971693039,12.85051537
1,0,0,1,1,1440,1437,3,1842,2.823031664,12.76866627
1,0,0,1,1,1440,1437,3,1985,3.042192221,18.18730164
1,0,0,1,1,1450,1447,2,1882,2.884335279,13.11795712
1,0,0,1,1,1456,1452,3,1979,3.032996655,14.20762539
1,0,0,1,1,1425,1422,3,2013,3.085104704,13.39105415
1,0,0,1,1,1453,1450,2,2014,3.086637259,14.79476833
1,0,0,1,1,1440,1437,2,2029,3.109626293,15.40436554
1,0,0,1,1,1389,1386,3,2020,3.095832825,15.25046825
1,0,0,1,1,1382,1379,3,2033,3.115756512,13.20301151
1,0,0,1,1,1505,1502,3,1941,2.974758148,12.298172
1,0,0,1,1,1392,1389,2,2085,3.19545125961304,12.2635955810547
1,0,0,1,1,1488,1485,3,1998,3.06211590766907,14.9462041854858
1,0,0,1,1,1452,1448,4,2105,3.22610306739807,17.7495670318604
1,0,0,1,1,1457,1454,3,2053,3.14640831947327,16.6058578491211
1,0,0,1,1,1464,1461,2,2140,3.27974367141724,15.0755863189697
1,0,0,1,1,1384,1381,3,2147,3.29047179222107,14.4287366867065
