Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
3,1,1,1,1,68,42,26,3124,34.4921875,94.3984375,3252.890625,4.78781271,0.052862402,0.144674152,4.985349178,0,0,13.89472294,13.89472294
3,1,1,1,1,66,43,22,2911,34.9765625,84.21484375,3030.191406,4.461370945,0.053604748,0.12906687,4.644042492,0,0,13.8080883,13.8080883
3,1,1,1,1,67,43,23,2922,34.81640625,84.6015625,3041.417969,4.478229523,0.053359296,0.129659548,4.661248207,0.190941468,0,14.35067081,14.54161263
4,1,1,2,1,65,44,20,3152,34.51171875,101.421875,3287.933594,4.830725193,0.052892335,0.1554382,5.039055824,0,0,17.50857353,17.50857353
4,1,1,2,1,72,48,24,2944,34.85546875,100.875,3079.730469,4.511946678,0.053419162,0.154600069,4.719965935,0.193356737,0,12.39929008,12.5926466
4,1,1,2,1,52,32,19,2988,38.625,100.7070313,3127.332031,4.579380512,0.059196308,0.154342636,4.792919636,0,0,15.11033344,15.11033344
5,1,1,3,1,78,58,20,3147,34.7265625,107.0742188,3288.800781,4.82306242,0.053221602,0.16410093,5.040384769,0,0,12.83114433,12.83114433
5,1,1,3,1,65,43,22,2929,34.6171875,113.4179688,3077.035156,4.488957882,0.053053975,0.173823312,4.715835094,0,0,13.62278938,13.62278938
5,1,1,3,1,57,35,22,2980,38.29296875,113.28125,3131.574219,4.567119598,0.058687441,0.173613772,4.799420834,0,0,14.14520264,14.14520264
6,1,1,4,1,66,43,22,3141,34.62890625,121.4804688,3297.109375,4.813867092,0.053071935,0.186179817,5.053118706,0.189431787,0,11.55320358,11.74263573
6,1,1,4,1,76,54,21,2999,34.84765625,103.2734375,3137.121094,4.59623909,0.053407189,0.158275887,4.807922363,0.186945304,0,13.30685329,13.49379826
6,1,1,4,1,56,33,23,3008,38.55859375,103.3359375,3149.894531,4.610032558,0.059094537,0.158371687,4.827498913,0,0,14.25683212,14.25683212
9,1,3,5,1,75,53,21,3153,34.5078125,144.34375,3331.851563,4.832257748,0.052886348,0.221219867,5.106363773,0,0,14.89234829,14.89234829
9,1,3,5,1,75,53,22,3046,34.85546875,184.84375,3265.699219,4.668270588,0.053419162,0.28328979,5.00497961,0,0,14.78036499,14.78036499
9,1,3,5,1,53,32,21,2999,38.7109375,184.8203125,3222.53125,4.59623909,0.059328016,0.283253849,4.938820839,0,0,12.4171648,12.4171648
10,1,3,6,1,76,56,20,3209,34.68359375,120.609375,3364.292969,4.918083191,0.053155746,0.184844792,5.156083584,0,0,13.42066956,13.42066956
10,1,3,6,1,76,54,22,3023,34.7421875,160.5898438,3218.332031,4.633021355,0.053245548,0.246118471,4.932385445,0,0,11.4895668,11.4895668
10,1,3,6,1,59,35,24,3039,38.58984375,160.5390625,3238.128906,4.657542706,0.059142429,0.246040642,4.962725639,0,0,16.00714111,16.00714111
11,1,3,7,1,84,62,22,3190,34.73828125,125.8867188,3350.625,4.888963699,0.053239562,0.192932799,5.135136127,0,0,12.29966545,12.29966545
11,1,3,7,1,79,57,21,3047,34.8515625,128.0546875,3209.90625,4.669803143,0.053413175,0.196255401,4.919471741,0,0,13.52449322,13.52449322
11,1,3,7,1,53,31,21,3068,38.69921875,127.9375,3234.636719,4.701987743,0.059310056,0.196075797,4.957373619,0,0,13.15386772,13.15386772
12,1,3,8,1,76,54,21,3180,34.87109375,112.3828125,3327.253906,4.873637676,0.053443108,0.17223683,5.099317551,0,0,12.30969238,12.30969238
12,1,3,8,1,76,55,21,3077,34.93359375,142.8359375,3254.769531,4.715781212,0.053538896,0.21890901,4.988229275,0,0,14.23105907,14.23105907
12,1,3,8,1,59,33,25,3108,38.7578125,142.7265625,3289.484375,4.763291359,0.059399858,0.218741372,5.041432381,0,0,14.08120728,14.08120728
13,1,3,9,1,96,75,21,3169,35.15625,167.0078125,3371.164063,4.856779575,0.053880136,0.255954593,5.166614532,0,0,13.05852127,13.05852127
13,1,3,9,1,74,52,22,3063,35.0234375,139.8007813,3237.824219,4.69432497,0.05367659,0.21425736,4.962258816,0,0,13.70675278,13.70675278
14,1,3,10,1,82,59,22,3211,34.87890625,124.9140625,3370.792969,4.9211483,0.053455081,0.191442117,5.166045666,0,0,14.12897396,14.12897396
14,1,3,10,1,76,53,22,3088,34.8046875,125.390625,3248.195313,4.73263979,0.053341337,0.192172483,4.978153706,0.189553231,0,15.01759624,15.20714951
14,1,3,10,1,64,42,22,3142,38.6328125,125.2109375,3305.84375,4.815399647,0.059208281,0.191897094,5.066504955,0,0,11.78253651,11.78253651
16,1,4,11,1,76,53,22,3238,34.75,159.15625,3431.90625,4.962528229,0.053257521,0.243921369,5.259706974,0,0,14.79419518,14.79419518
16,1,4,11,1,77,54,23,3119,34.8359375,135.421875,3289.257813,4.780149937,0.053389229,0.207546279,5.041085243,0,0,13.42455769,13.42455769
16,1,4,11,1,71,45,26,3126,38.76953125,135.4414063,3300.210938,4.790877819,0.059417818,0.207576215,5.057871819,0,0,12.17045975,12.17045975
17,1,4,12,1,79,54,25,3208,34.88671875,148.1171875,3391.003906,4.916550636,0.053467054,0.227002993,5.197020531,0,0,15.34062481,15.34062481
17,1,4,12,1,89,66,22,3136,35.1015625,107.6757813,3278.777344,4.806203842,0.053796321,0.16502288,5.025022984,0,0,11.5856905,11.5856905
17,1,4,12,1,68,45,22,3169,39.1015625,107.6757813,3315.777344,4.856779575,0.059926685,0.16502288,5.081728935,0,0,13.32046986,13.32046986
18,1,4,13,1,80,54,26,3222,34.66796875,121.3554688,3378.023438,4.938006878,0.0531318,0.185988247,5.177126884,0,0,13.26271725,13.26271725
18,1,4,13,1,78,55,22,3117,34.79296875,151.0234375,3302.816406,4.777084827,0.053323373,0.231457084,5.06186533,0,0,12.43631172,12.43631172
18,1,4,13,1,64,41,23,3205,38.70703125,150.9609375,3394.667969,4.911952496,0.059322029,0.2313613,5.202635765,0.388417542,0,12.2644577,12.65287495
